id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"papinianus","Papinianus","MALE","false","12","155","6080",,"11","19","0.18869949494949498","0.4509379509379509","0.30119860256441844"
"caemmerer","Cämmerer","MALE","false","5","28","653",,"5","8","0.11824494949494946","0.4208754208754209","0.1312188379438022"
"plautia","Plautia","FEMALE","false","5","30","1614",,"10","14","0.12225378787878788","0.4029658284977434","0.3933569592970468"
"reyen_der_hofe-junckern_papiniani","Reyen der Hofe-Junckern Papiniani","MALE","true","1","1","603",,"0","0","0","0","1.927684872184692E-39"
"laetus","Laetus","MALE","false","7","94","2552",,"9","12","0.11414141414141415","0.3787878787878788","0.08020111927366613"
"bassianus","Bassianus","MALE","false","9","125","4134",,"10","14","0.16268939393939394","0.4304407713498623","0.13963559429671255"
"flavius","Flavius","MALE","false","1","1","26",,"2","2","0","0.2959280303030303","0.03280491110505593"
"geta","Geta","MALE","false","1","18","182",,"4","4","0","0.3156565656565657","0.051535519418067166"
"julia","Julia","FEMALE","false","5","57","2346",,"7","10","0.06502525252525253","0.36421911421911424","0.07398326302769954"
"reyen_der_jungfern_und_cammer-diner","Reyen der Jungfern und Cammer-Diner","UNKNOWN","true","1","1","10",,"4","4","0","0.3156565656565657","0.051535519418067166"
"reyen_dess_frauenzimmers","Reyen deß Frauenzimmers","FEMALE","true","1","18","178",,"1","1","0","0.2492025518341308","0.011040159435845489"
"thrasullus","Thrasullus","MALE","false","2","21","461",,"2","3","0","0.2959280303030303","0.0306207827240603"
"themis","Themis","FEMALE","false","1","1","161",,"4","4","0","0.12626262626262627","7.12325732513051E-8"
"alecto","Alecto","FEMALE","false","2","2","249",,"5","7","0.0012626262626262625","0.15151515151515152","8.13922109575834E-8"
"megaera","Megaera","FEMALE","false","2","2","216",,"5","7","0.0012626262626262625","0.15151515151515152","8.13922109575834E-8"
"tisiphone","Tisiphone","FEMALE","false","2","2","204",,"5","7","0.0012626262626262625","0.15151515151515152","8.13922109575834E-8"
"gerechtigkeit","Gerechtigkeit","UNKNOWN","false","1","1","75",,"4","4","0","0.12626262626262627","7.12325732513051E-8"
"haubtmann_1","1. Haubtmann","MALE","false","2","11","144",,"2","2","0","0.2959280303030303","0.03280491110505593"
"cleander","Cleander","MALE","false","3","63","1870",,"2","3","0","0.33820346320346323","0.06578172923786087"
"sabinus","Sabinus","MALE","false","1","7","211",,"1","1","0","0.2559377559377559","0.011968045960331877"
"haubtmann_2","2. Haubtmann","MALE","false","1","6","45",,"1","1","0","0.2559377559377559","0.011968045960331877"
"reyen_der_hofe-leute","Reyen der Hofe-Leute","MALE","true","1","1","544",,"0","0","0","0","1.927684872184692E-39"
"papiniani_sohn","Papiniani Sohn","MALE","false","3","12","317",,"5","8","0.021496212121212124","0.3865182436611008","0.15673970822625136"
"macrinus","Macrinus","MALE","false","1","17","201",,"3","3","0","0.3156565656565657","0.12703006871593783"
"haubtleute","Haubtleute","MALE","true","1","7","332",,"1","1","0","0.2869605142332415","0.04494486409313681"
"geist_severi","Geist Severi","MALE","false","1","2","131",,"3","3","0","0.10822510822510822","5.514528285684898E-8"
"eugenia","Eugenia","FEMALE","false","2","9","598",,"8","9","0.02133838383838384","0.3443526170798898","0.35922887269627696"
"hostilius","Hostilius","MALE","false","2","8","860",,"8","9","0.02133838383838384","0.3443526170798898","0.3592288726962769"
"haubtmann_3","3. Haubtmann","MALE","false","1","3","29",,"3","3","0","0.3156565656565657","0.15215241489424156"
"scherge","Scherge","MALE","false","1","1","8",,"3","3","0","0.3443526170798898","0.08917050754512164"
"reyen_dess_roemischen_frauenzimmers","Reyen deß römischen Frauenzimmers","FEMALE","true","1","9","422",,"6","6","0","0.2913752913752914","0.30036377755693855"
"diner_1","1. Diner","MALE","false","1","3","113",,"6","6","0","0.2913752913752914","0.30036377755693855"
"reyen_der_diner","Reyen der Diner","MALE","true","1","1","60",,"6","6","0","0.2913752913752914","0.30036377755693855"
"diner_2","2. Diner","MALE","false","1","1","91",,"6","6","0","0.2913752913752914","0.30036377755693855"
