id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"herzog","Herzog","MALE","false","30","242","4059",,"41","154","0.0495946177630798","0.5203218141648256","0"
"generalfeldmarschall","Generalfeldmarschall","MALE","false","15","81","1213",,"37","111","0.043241670490026377","0.4800492279291579","0"
"kammerherr","Kammerherr","MALE","false","13","27","234",,"22","52","0.007302007265356737","0.41348240165631467","0"
"courrier","Courrier","MALE","false","1","15","339",,"2","2","0","0.34304402792282745","0"
"eilbote_1-1-4","Eilbote (I/I/4)","MALE","false","1","2","31",,"1","1","0","0.32303312629399583","0"
"zweiter_eilbote_1-1-6","Zweiter Eilbote (I/I/6)","MALE","false","1","3","19",,"1","1","0","0.32303312629399583","0"
"herzogin","Herzogin","FEMALE","false","12","61","559",,"38","126","0.028752446864620078","0.5151358824621861","0"
"alle_einige_mehrere_hofdamen","Alle/Einige/Mehrere Hofdamen","FEMALE","true","4","12","64",,"22","49","0.0075551737493416374","0.4587452681098166","0"
"julchen","Julchen","FEMALE","false","7","21","188",,"30","83","0.013305646369219624","0.4698663655185394","0"
"eine_hofdame_1-1-8","Eine Hofdame (I/I/8)","FEMALE","false","1","1","4",,"10","10","0","0.3492250013989144","0"
"eine_andere_1-1-8","Eine andere (I/I/8)","FEMALE","false","1","1","2",,"10","10","0","0.3492250013989144","0"
"eine_dritte_1-1-8","Eine dritte (I/I/8)","FEMALE","false","1","1","2",,"10","10","0","0.3492250013989144","0"
"eine_vierte_1-1-8","Eine vierte (I/I/8)","FEMALE","false","1","1","2",,"10","10","0","0.3492250013989144","0"
"eine_andere_hofdame_1-1-8","Eine andere Hofdame (I/I/8)","FEMALE","false","1","1","9",,"10","10","0","0.3492250013989144","0"
"wirthin","Wirthin","FEMALE","false","1","4","248",,"2","2","0","0.3415328207513612","0"
"tollhausinspector","Tollhausinspector","MALE","false","13","131","3257",,"26","98","0.005483791576417842","0.4953862639652333","0"
"doctor_stirn","Doctor Stirn","MALE","false","9","57","758",,"32","85","0.023605561105561106","0.47273140433267685","0"
"bruno","Jordan Bruno","MALE","false","11","51","594","Q36330","39","104","0.030997789736143855","0.4830401888508349","0"
"der_tolle","Der Tolle","MALE","false","2","15","224",,"6","7","0","0.3292057338027983","0"
"saint-preux","Saint-Preux","MALE","false","13","55","970",,"41","123","0.03560268471176852","0.4860686539846959","0"
"die_tolle","Die Tolle","FEMALE","false","2","11","356",,"6","7","0","0.3292057338027983","0"
"doctor_schaedlein","Doctor Schädlein","MALE","false","2","39","544",,"6","8","0","0.3292057338027983","0"
"ein_toller","Ein Toller","MALE","false","1","1","1",,"6","6","0","0.3292057338027983","0"
"prinz_von_ellenbogen","Prinz von Ellenbogen","MALE","false","9","29","336",,"29","83","0.016388590274459856","0.4684468296710514","0"
"madame_dauphin","Madame Dauphin","FEMALE","false","13","53","597",,"41","127","0.041034498417885555","0.5203218141648256","0"
"ein_gelehrter","Ein Gelehrter","MALE","false","1","1","9",,"3","3","0","0.3461069210292813","0"
"opitz","Opitz","MALE","false","14","50","453",,"43","135","0.05724738457375877","0.5256132224444678","0"
"ein_junger_gelehrter","Ein junger Gelehrter","MALE","false","1","2","48",,"11","11","0","0.3548189945563341","0"
"ein_alter_gelehrter","Ein alter Gelehrter","MALE","false","1","6","111",,"11","11","0","0.3548189945563341","0"
"einer_der_gelehrten","Einer der Gelehrten","MALE","false","1","1","10",,"11","11","0","0.3548189945563341","0"
"ein_student","Ein Student","MALE","false","1","1","8",,"11","11","0","0.3548189945563341","0"
"ein_jauerscher_gelehrter","Ein Jauerscher Gelehrter","MALE","false","1","1","27",,"11","11","0","0.3548189945563341","0"
"bibliothekar","Bibliothekar","MALE","false","1","3","107",,"11","11","0","0.3548189945563341","0"
"bedienter","Bedienter","MALE","false","1","5","75",,"4","4","0","0.3461069210292813","0"
"alle_die_eingeladenen","Alle die Eingeladenen","UNKNOWN","true","1","1","5",,"4","4","0","0.3461069210292813","0"
"von_wirbelzopf","General von Wirbelzopf","MALE","false","3","13","105",,"23","37","0.00026879823075475254","0.39656240568060874","0"
"prinz_von_kotbus","Prinz von Kotbus","MALE","false","6","8","54",,"47","85","0.3772526808316183","0.5658974475223284","0"
"officiere","Officiere","MALE","true","6","20","92",,"41","66","0.10766504329004337","0.41569946547216624","0"
"romanier","Romanier","MALE","true","3","1","29",,"32","52","0.008596720308676815","0.4059054990081623","0"
"kalmucken","Kalmucken","MALE","true","3","1","33",,"32","52","0.008596720308676815","0.4059054990081623","0"
"zigeuner","Zigeuner","MALE","true","3","2","30",,"32","52","0.008596720308676815","0.4059054990081623","0"
"kosaken","Kosaken","MALE","true","3","1","29",,"32","52","0.008596720308676815","0.4059054990081623","0"
"tataren","Tataren","MALE","true","3","0","31",,"32","52","0.008596720308676815","0.4059054990081623","0"
"kroaten","Kroaten","MALE","true","3","0","27",,"32","52","0.008596720308676815","0.4059054990081623","0"
"eine_baszstimme","Eine Baszstimme","MALE","false","1","1","29",,"18","18","0","0.39155530459878285","0"
"tenorstimme","Tenorstimme","MALE","false","1","1","24",,"18","18","0","0.39155530459878285","0"
"ferne_stimme_vom_vandalischen_vorposten","Ferne Stimme vom vandalischen Vorposten","MALE","false","1","1","1",,"18","18","0","0.39155530459878285","0"
"grauer_mantel","Grauer Mantel","MALE","false","4","9","57",,"29","40","0.013683770939205704","0.40274259901589093","0"
"altstimme","Altstimme","MALE","false","1","1","17",,"18","18","0","0.39155530459878285","0"
"stimmen_vom_vandalischen_lager","Stimmen vom vandalischen Lager","MALE","true","1","1","1",,"18","18","0","0.39155530459878285","0"
"wache_vor_dem_zelt","Wache vor dem Zelt","MALE","false","1","2","7",,"18","18","0","0.39155530459878285","0"
"stimmen_der_philister","Stimmen der Philister","MALE","true","1","2","5",,"18","18","0","0.39155530459878285","0"
"alter_obristwachtmeister","Alter Obristwachtmeister","MALE","false","3","11","50",,"32","52","0.008596720308676815","0.4059054990081623","0"
"festungscommandant","Festungscommandant","MALE","false","5","10","79",,"32","57","0.008596720308676815","0.4059054990081623","0"
"wachthabender_officier","Wachthabender Officier","MALE","false","2","3","6",,"15","19","0","0.3886112797521754","0"
"feldcourrier","Feldcourrier","MALE","false","3","6","72",,"25","38","0.007864671560323722","0.3986012869437481","0"
"wache_1-5-3","Wache (I/V/3)","MALE","false","1","1","2",,"15","15","0","0.3886112797521754","0"
"zweiter_eilbote_1-5-3","Zweiter Eilbote (I/V/3)","MALE","false","1","6","108",,"15","15","0","0.3886112797521754","0"
"stimme_von_der_linken_seite_des_zeltes_her","Stimme von der linken Seite des Zeltes her","MALE","false","1","1","7",,"15","15","0","0.3886112797521754","0"
"adjutant","Adjutant","MALE","false","1","1","51",,"2","2","0","0.29311134332914557","0"
"einer","Einer","MALE","false","1","1","29",,"19","19","0","0.3028435559006211","0"
"die_wache_1-5-5","Die Wache (I/V/5)","MALE","false","1","1","1",,"19","19","0","0.3028435559006211","0"
"kalmuckenhauptmann","Kalmuckenhauptmann","MALE","false","1","2","17",,"19","19","0","0.3028435559006211","0"
"wachhabender_corporal","Wachhabender Corporal","MALE","false","1","3","18",,"19","19","0","0.3028435559006211","0"
"kosakenhauptmann","Kosakenhauptmann","MALE","false","1","1","12",,"19","19","0","0.3028435559006211","0"
"kroatenhauptmann","Kroatenhauptmann","MALE","false","1","1","2",,"19","19","0","0.3028435559006211","0"
"romanischer_husarenobrist","Romanischer Husarenobrist","MALE","false","1","1","2",,"19","19","0","0.3028435559006211","0"
"ein_soldat","Ein Soldat","MALE","false","1","1","5",,"19","19","0","0.3028435559006211","0"
"kroat_1-5-5","Kroat (I/V/5)","MALE","false","1","1","6",,"19","19","0","0.3028435559006211","0"
"schildwache","Schildwache","MALE","false","1","2","4",,"8","8","0","0.2964739973635143","0"
"einer_der_zur_rechten_gelagerten_soldaten","Einer der zur rechten gelagerten Soldaten","MALE","false","1","1","2",,"8","8","0","0.2964739973635143","0"
"kalmuck","Kalmuck","MALE","false","1","1","2",,"8","8","0","0.2964739973635143","0"
"kroat_1-5-7","Kroat (I/V/7)","MALE","false","1","1","2",,"8","8","0","0.2964739973635143","0"
"marketenderin","Marketenderin","FEMALE","false","1","1","5",,"8","8","0","0.2964739973635143","0"
"stimmen_fern_im_hintergrunde","Stimmen fern im Hintergrunde","MALE","true","1","1","1",,"8","8","0","0.2964739973635143","0"
"discantstimme","Discantstimme","MALE","false","1","1","43",,"8","8","0","0.2964739973635143","0"
"dumpfer_chor","Dumpfer Chor","MALE","true","1","1","16",,"8","8","0","0.2964739973635143","0"
"hans_wurst_echo","Hans Wurst/Echo","MALE","false","23","111","4536","Q252737","62","106","0.3174484633046727","0.5638396386222473","0"
"werder","Werder","MALE","false","9","26","429",,"29","95","0.00659709467551083","0.4684468296710514","0"
"prologus_barbara","Prologus/Barbara","FEMALE","false","1","18","715",,"16","16","0","0.4507438971544128","0"
"stimme_hinter_den_coulissen","Stimme hinter den Coulissen","MALE","false","2","23","315",,"19","26","0.00229533704213951","0.4845496894409938","0"
"stimme_2-1-prologus","Stimme (II/1/Prologus)","MALE","false","1","1","48",,"16","16","0","0.4507438971544128","0"
"eine_stimme_unten_2-1-prologus","Eine Stimme unten (II/1/Prologus)","MALE","false","1","1","8",,"16","16","0","0.4507438971544128","0"
"klingel","Klingel","MALE","false","10","57","1349",,"31","54","0.007867146332123709","0.41238271441786706","0"
"flecht","Flecht","MALE","false","7","58","911",,"21","35","0.0016223370232273573","0.4016992244070415","0"
"keit","Keit","MALE","false","12","90","2513",,"39","67","0.04158384832859446","0.44301685891748","0"
"pinsel","Pinsel","MALE","false","6","59","1074",,"19","24","0.003969606028029943","0.39555076689060714","0"
"poz","Poz","MALE","false","6","39","468",,"21","35","0.0016223370232273573","0.4016992244070415","0"
"hoechener","Höchener","MALE","false","4","24","493",,"22","29","0.0013981679628373087","0.3691807157645667","0"
"bombastus","Bombastus","MALE","false","5","25","504",,"21","32","0.0016223370232273573","0.4016992244070415","0"
"faust","Faust","MALE","false","12","108","1735","Q76918","46","76","0.2081847256059562","0.5274010225208096","0"
"von_wicht","Baron von Wicht","MALE","false","4","31","712",,"21","33","0.0016223370232273573","0.4016992244070415","0"
"mehrere_einige_alle_stimmen_hinter_den_coulissen","Mehrere/Einige/Alle Stimmen hinter den Coulissen","UNKNOWN","true","1","4","63",,"10","10","0","0.4628534346899045","0"
"chor_der_zuschauenden","Chor der Zuschauenden","UNKNOWN","true","1","1","4",,"10","10","0","0.4628534346899045","0"
"schuster","Schuster","MALE","false","2","12","12",,"15","17","0.0027054252545059576","0.4213475560356468","0"
"eine_andere_hofdame_2-1-2-1","Eine andere Hofdame (II/1/II/1)","FEMALE","false","1","2","11",,"13","13","0","0.3996286098482423","0"
"die_stimme_2-1-2-2","Die Stimme (II/1/II/1)","MALE","false","1","4","71",,"4","4","0","0.39454427638961326","0"
"jakob_pilz","Jakob Pilz","MALE","false","1","16","373",,"2","2","0","0.37543801603176274","0"
"droll","Droll","MALE","false","3","8","72",,"15","17","0.00010872926245597051","0.3597584701186033","0"
"till","Till","MALE","false","6","18","268",,"31","50","0.007867146332123709","0.41238271441786706","0"
"schrelling","Schrelling","MALE","false","4","16","195",,"21","33","0.0016223370232273573","0.4016992244070415","0"
"einbein","Einbein","MALE","false","5","10","94",,"30","47","0.006511993763850029","0.4112888610639735","0"
"einer_der_todtengraeber","Einer der Todtengräber","MALE","false","1","1","4",,"2","2","0","0.34456866804692887","0"
"die_sieben_todtengraeber","Die sieben Todtengräber","MALE","true","1","1","1",,"2","2","0","0.34456866804692887","0"
"chor_von_halbtollen","Chor von Halbtollen","MALE","true","3","2","152",,"16","17","0.004171704447929496","0.39254658385093166","0"
"chor_von_bloedsinnigen","Chor von Blödsinnigen","MALE","true","2","1","87",,"2","3","0","0.367431044125872","0"
"eine_hofdame_2-1-2-13","Eine Hofdame (II/1/II/13)","FEMALE","false","1","1","8",,"7","7","0","0.35809676817810165","0"
"chor_von_zaehneklappernden","Chor von Zähneklappernden","MALE","true","1","3","53",,"14","14","0","0.3656978788233915","0"
"eine_hohle_stimme","Eine hohle Stimme","MALE","false","2","15","242",,"14","17","0","0.3656978788233915","0"
"chor_von_weinenden","Chor von Weinenden","MALE","true","1","3","56",,"14","14","0","0.3656978788233915","0"
"eine_andre_noch_hohlere_stimme","Eine andre noch hohlere Stimme","MALE","false","1","1","10",,"14","14","0","0.3656978788233915","0"
"die_hohlste_stimme","Die hohlste Stimme","MALE","false","2","9","133",,"14","17","0","0.3656978788233915","0"
"eine_hofdame_2-1-3-1","Eine Hofdame (II/1/III/1)","FEMALE","false","1","2","17",,"14","14","0","0.3656978788233915","0"
"satan","Satan","MALE","false","3","21","391",,"1","1","0","0.2659620936897393","0"
"mephistopheles","Mephistopheles","MALE","false","4","34","643",,"17","20","0.036520722419402546","0.3639809873735165","0"
"hofmarschall","Hofmarschall","MALE","false","3","13","188",,"16","34","0.00003529079616036138","0.4069708677719633","0"
"die_romanze","Die Romanze","FEMALE","false","1","1","1020",,"2","2","0","0.37453116092057487","0"
"eine_hofdame_2-2-4-1","Eine Hofdame (II/2/IV/1)","FEMALE","false","1","1","7",,"11","11","0","0.4016992244070415","0"
