id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"heink","Gustav Heink","MALE","false","3","379","6152",,"15","23","0.08412698412698416","1","0.3064588694073894"
"frau_fanny_mell","Frau Fanny Mell","FEMALE","false","1","11","51",,"11","11","0","0.7894736842105263","0.26431536416939677"
"frau_claire_floderer","Frau Claire Floderer","FEMALE","false","1","37","167",,"11","11","0","0.7894736842105263","0.26431536416939677"
"fraeulein_selma_meier","Fräulein Selma Meier","FEMALE","false","1","50","289",,"11","11","0","0.7894736842105263","0.26431536416939677"
"eva","Eva Gerndl","FEMALE","false","2","125","1645",,"14","17","0.05714285714285715","0.9375","0.2973268841890378"
"frau_doktor_kann","Frau Doktor Kann","FEMALE","false","1","6","42",,"11","11","0","0.7894736842105263","0.26431536416939677"
"miss_garden","Miss Garden","FEMALE","false","1","36","247",,"11","11","0","0.7894736842105263","0.26431536416939677"
"fraeulein_wehner","Fräulein Wehner","FEMALE","false","1","91","551",,"11","11","0","0.7894736842105263","0.26431536416939677"
"marie","Marie","FEMALE","false","3","454","5832",,"15","23","0.08412698412698416","1","0.3064588694073894"
"johann","Johann","MALE","false","1","2","3",,"11","11","0","0.7894736842105263","0.26431536416939677"
"eine_stimme","Eine Stimme","UNKNOWN","false","1","3","8",,"11","11","0","0.7894736842105263","0.26431536416939677"
"jura","Dr. Franz Jura","MALE","false","3","308","6689",,"15","23","0.08412698412698416","1","0.3064588694073894"
"pollinger","Pollinger","MALE","false","2","85","1093",,"7","12","0.0015873015873015873","0.6521739130434783","0.1386827224939907"
"frau_pollinger","Frau Pollinger","FEMALE","false","2","51","513",,"7","12","0.0015873015873015873","0.6521739130434783","0.1386827224939907"
"delfine","Delfine","FEMALE","false","2","162","1501",,"7","12","0.0015873015873015873","0.6521739130434783","0.1386827224939907"
"die_magd","Die Magd","FEMALE","false","1","2","0",,"6","6","0","0.625","0.11509136188276745"
