drama_name,genre,whole_density,whole_diameter,whole_average_clustering,wo1_density,wo1_diameter,wo1_average_clustering,wo2_density,wo2_diameter,wo2_average_clustering,wo3_density,wo3_diameter,wo3_average_clustering,wo4_density,wo4_diameter,wo4_average_clustering,wo5_density,wo5_diameter,wo5_average_clustering
DesMeeresundderLiebeWellen-TrauerspielinfünfAufzügen,Tragedy,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
Clavigo-EinTrauerspiel,Tragedy,0.8444444444444444,2,0.9059523809523811,0.8444444444444444,2,0.9059523809523811,0.9444444444444444,2,0.9523809523809526,0.8444444444444444,2,0.9059523809523811,0.8444444444444444,2,0.9059523809523811,0.7777777777777778,2,0.9047619047619047
Medea-TrauerspielinfünfAufzügen,Tragedy,0.7272727272727273,2,0.8630892255892256,0.6909090909090909,2,0.8601010101010101,0.8,2,0.8862193362193364,0.7272727272727273,2,0.8630892255892256,0.8222222222222222,2,0.8976190476190478,0.7818181818181819,2,0.8839826839826839
TobiasBuntschuh-EineburleskeTragödieinfünfAkten,Tragedy,0.25296442687747034,3,0.7381313131313132,0.2683982683982684,3,0.7748032270759544,0.2554112554112554,4,0.7188164108618654,0.4666666666666667,3,0.6828571428571428,0.25296442687747034,3,0.7381313131313132,0.2490118577075099,3,0.7495498462889768
DieMakkabäer-TrauerspielinfünfAkten,Tragedy,0.663768115942029,2,0.8967138803555691,0.6757575757575758,2,0.9032863851571995,0.6866002214839424,2,0.9124949304774362,0.7093596059113301,2,0.8835875807240126,0.7098560354374308,2,0.9080971031674256,0.7209302325581395,2,0.908785183430674
AgnesBernauerin-EinvaterländischesTrauerspiel,Tragedy,0.3374384236453202,3,0.7503622541414793,0.3162393162393162,3,0.7687696914305101,0.29333333333333333,4,0.7419933399933402,0.3732193732193732,3,0.7472736000255781,0.3439153439153439,3,0.7909306883101664,0.4384057971014493,3,0.7771373098578982
Struensee-TrauerspielinfünfAufzügen,Tragedy,0.12090395480225989,0,0.8235655253186213,0.15816326530612246,0,0.8363145124849807,0.13800904977375567,0,0.8162654119384888,0.1445578231292517,0,0.8063294981662329,0.12424242424242424,0,0.7882750111181482,0.12764670296430733,0,0.8360993943010597
DerTurm-EinTrauerspielinfünfAufzügen,Tragedy,0.31411739953713447,3,0.9535067496427365,0.3365362617250057,2,0.953837134098311,0.412962962962963,2,0.9513284010335061,0.38025271818983253,3,0.9632130357056068,0.3611111111111111,3,0.949424729767919,0.369620253164557,3,0.9669395431432498
LadyJohannaGrayoderDerTriumfderReligion-EinTrauerspiel,Tragedy,0.5555555555555556,2,0.8253968253968254,0.5555555555555556,2,0.8253968253968255,0.7142857142857143,2,0.8571428571428571,0.5277777777777778,2,0.8029100529100528,0.4722222222222222,3,0.7830687830687831,0.5,2,0.7396825396825396
DasTestament-EindeutschesLustspielinfünfAufzügen,Comedy,0.6363636363636364,3,0.8282407407407407,0.6363636363636364,3,0.8282407407407407,0.6363636363636364,3,0.8282407407407407,0.6363636363636364,3,0.8282407407407407,0.7090909090909091,3,0.8535353535353536,0.4666666666666667,3,0.6776190476190476
GottschedundGellert-CharakterlustspielinfünfAkten,Comedy,0.47950089126559714,2,0.8587816422641739,0.5161290322580645,2,0.8580623556065659,0.4943181818181818,2,0.859695397014587,0.5615763546798029,2,0.8616973632698124,0.5120967741935484,2,0.8612872481852106,0.5670995670995671,2,0.8524152150348322
AndreasHoferderSandwirtvonPasseier-EinTrauerspiel,Tragedy,0.1358974358974359,0,0.7971125854821508,0.1361344537815126,0,0.8069758812615957,0.15862068965517243,0,0.7564285714285715,0.15465465465465467,4,0.7806622545752981,0.1553030303030303,0,0.807176038459461,0.14714714714714713,0,0.8263172263172264
CatharinavonGeorgienoderBewehreteBeständigkeit-Trauerspiel,Tragedy,0.5573122529644269,2,0.886384992940384,0.6631578947368421,2,0.8990524439440847,0.5930735930735931,2,0.8978583507995271,0.5573122529644269,2,0.886384992940384,0.7083333333333334,2,0.9069888444888445,0.5614035087719298,2,0.885421888053467
Coriolan-EinTrauerspielinfünfAufzügen,Tragedy,0.39705882352941174,2,0.7686741363211952,0.38235294117647056,2,0.7912231559290382,0.4,2,0.7528408628408628,0.45054945054945056,2,0.8595412523983954,0.425,2,0.8,0.39705882352941174,2,0.7686741363211952
DerGroßkophta-EinLustspielinfünfAufzügen,Comedy,0.2134453781512605,0,0.8280519407946672,0.25846153846153846,0,0.8105141653218576,0.20504201680672268,0,0.8003528084834933,0.3261538461538461,3,0.7900067338921828,0.22459893048128343,0,0.8565062313884497,0.2275132275132275,0,0.7728620294271555
Judith-EineTragödieinfünfAkten,Tragedy,0.3865847414234511,2,0.9590001001679394,0.5007256894049347,2,0.9591673840617094,0.3865847414234511,2,0.9590001001679392,0.5168690958164642,2,0.9644913659361544,0.43074225599064875,2,0.960345094804365,0.5138427464008859,2,0.9672004725095591
KaiserHeinrichderSechste-EineTragödieinfünfAkten,Tragedy,0.14995990376904572,0,0.8390065585244318,0.1458860759493671,0,0.8773211487623758,0.22896174863387977,0,0.8290047981545162,0.15087719298245614,0,0.8502506498819077,0.15784215784215785,0,0.8757753087810968,0.1705263157894737,4,0.8562322909793444
