id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Valentine_TGV","Valentine","MALE","false","6","149","2821",,"11","26","0.016574074074074074","0.7619047619047619","0.3110923530810552"
"Proteus_TGV","Proteus","MALE","false","11","148","3350",,"14","36","0.1839351851851852","0.8888888888888888","0.3348870558225021"
"Speed_TGV","Speed","MALE","false","6","117","1332",,"10","19","0.01138888888888889","0.6956521739130435","0.2843726969136919"
"Julia_TGV","Julia","FEMALE","false","7","107","2430",,"12","22","0.1756944444444444","0.8","0.2899225480398496"
"Lucetta_TGV","Lucetta","FEMALE","false","2","48","556",,"1","2","0","0.45714285714285713","0.029432194042051392"
"Antonio_TGV","Antonio","MALE","false","1","11","262",,"2","2","0","0.5","0.04291346440950538"
"Pantino_TGV","Pantino","MALE","false","3","14","311",,"4","5","0.0125","0.5517241379310345","0.08783128226790778"
"Sylvia_TGV","Sylvia","FEMALE","false","8","58","1138",,"13","28","0.1603240740740741","0.8421052631578947","0.3258861760304168"
"Lance_TGV","Lance","MALE","false","4","68","1852",,"7","9","0.017129629629629627","0.64","0.197459461673918"
"Thurio_TGV","Thurio","MALE","false","5","35","372",,"11","23","0.025324074074074075","0.7619047619047619","0.30463905808046315"
"Duke_TGV","Duke","MALE","false","5","48","1529",,"11","23","0.016574074074074074","0.7619047619047619","0.3110923530810552"
"SERVANTS.1_TGV","Servants","MALE","false","1","1","9",,"6","6","0","0.5925925925925926","0.19003663339800272"
"OUTLAWS.1_TGV","Outlaws 1","MALE","false","3","11","159",,"9","15","0.0018518518518518517","0.6956521739130435","0.2753802494688166"
"OUTLAWS.2_TGV","Outlaws 2","MALE","false","3","10","105",,"9","15","0.0018518518518518517","0.6956521739130435","0.2753802494688166"
"OUTLAWS.3_TGV","Outlaws 3","MALE","false","3","8","210",,"9","15","0.0018518518518518517","0.6956521739130435","0.2753802494688166"
"Host_TGV","Host","MALE","false","1","16","158",,"4","4","0","0.5714285714285714","0.12743799477285048"
"Eglamour_TGV","Eglamour","MALE","false","2","8","192",,"1","2","0","0.47058823529411764","0.03308297059103648"
