id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Shallow_2H4","Shallow","MALE","false","8","57","914",,"20","52","0.02378957021814164","0.9166666666666666","0.24580726363251312"
"Slender_Wiv","Slender","MALE","false","7","58","1171",,"19","48","0.014133641731044328","0.88","0.2402233207240106"
"HughEvans_Wiv","Sir Hugh","MALE","false","11","87","1849",,"21","66","0.04742402859285977","0.9565217391304348","0.25142435392857254"
"MasterPage_Wiv","Page","MALE","false","11","74","1094",,"21","77","0.02847432750030152","0.9565217391304348","0.25505057503172884"
"Falstaff_1H4","Falstaff","MALE","false","9","136","3649",,"20","58","0.018563999732830898","0.9166666666666666","0.2490609249049452"
"Bardolph_1H4","Bardolph","MALE","false","6","14","168",,"14","28","0.002085216370930657","0.7333333333333333","0.18792608776598552"
"Pistol_2H4","Pistol","MALE","false","5","29","464",,"18","38","0.007109316849576589","0.8461538461538461","0.23423367059722688"
"Nym_H5","Nym","MALE","false","3","13","239",,"14","21","0.002009102009102009","0.7333333333333333","0.1889779540845897"
"Simple_Wiv","Simple","MALE","false","5","25","332",,"14","26","0.004873301301872731","0.7333333333333333","0.1813443485275665"
"AnnePage_Wiv","Anne","FEMALE","false","3","20","185",,"16","27","0.00447911876483305","0.7857142857142857","0.2111914614400755"
"Host_Wiv","Host","MALE","false","8","46","855",,"17","39","0.009417962989391562","0.8148148148148148","0.21926089998106035"
"MistressQuickly_1H4","Mistress Quickly","FEMALE","false","9","74","2200",,"20","49","0.04299367059107319","0.9166666666666666","0.24258674974763791"
"Rugby_Wiv","John Rugby","MALE","false","2","9","52",,"8","9","0","0.6111111111111112","0.10794071133118216"
"DoctorCaius_Wiv","Doctor Caius","MALE","false","8","49","819",,"20","52","0.025080102677505274","0.9166666666666666","0.24456410091950956"
"Fenton_Wiv","Fenton","MALE","false","4","20","750",,"16","23","0.007541292281552021","0.7857142857142857","0.20843345232421878"
"MistressPage_Wiv","Mistress Page","FEMALE","false","9","102","2428",,"19","60","0.036650410676384707","0.88","0.2309334424018017"
"MistressFord_Wiv","Mistress Ford","FEMALE","false","6","84","1293",,"18","43","0.012119386145360171","0.8461538461538461","0.22857001337817434"
"MasterFord_Wiv","Ford","MALE","false","9","99","2530",,"19","59","0.014863996032827202","0.88","0.23899810404218283"
"Robin_Wiv","Robin","MALE","false","3","6","101",,"15","22","0.005750862893720035","0.7586206896551724","0.19598312829765377"
"Robert_Wiv","Robert","MALE","false","2","2","20",,"10","17","0","0.6470588235294118","0.1335990625013575"
"John_Wiv","John","MALE","false","2","1","13",,"10","17","0","0.6470588235294118","0.1335990625013575"
"WilliamPage_Wiv","William","MALE","false","1","11","37",,"3","3","0","0.5365853658536586","0.042591030879923386"
"BOYS_Wiv","Windsor Children, disguised as fairies","UNKNOWN","true","1","0","59",,"12","12","0","0.6875","0.16657408001078336"
