id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Duke_MM","Duke","MALE","false","10","197","6533",,"17","36","0.18666307342196664","0.7931034482758621","0.30781300218928054"
"Escalus_MM","Escalus","MALE","false","5","78","1418",,"12","22","0.02454984628897672","0.6764705882352942","0.2606309488724095"
"Angelo_MM","Angelo","MALE","false","6","82","2380",,"12","22","0.030478700043917437","0.6764705882352942","0.2525904290819255"
"Lucio_MM","Lucio","MALE","false","6","111","2318",,"17","31","0.11399169561224896","0.7931034482758621","0.321274710291507"
"GENTLEMEN.1_MM","GENTLEMEN.1_MM","MALE","false","1","12","169",,"6","6","0","0.5476190476190477","0.14072658931633297"
"GENTLEMEN.2_MM","GENTLEMEN.2_MM","MALE","false","1","9","59",,"6","6","0","0.5476190476190477","0.14072658931633297"
"Bawd_MM","Mistress Overdone","FEMALE","false","2","15","226",,"9","12","0.009282548808240506","0.6216216216216216","0.2054156082631574"
"Pompey_MM","Pompey","MALE","false","5","60","1292",,"16","29","0.07598714416896235","0.7666666666666667","0.31127754004567293"
"Claudio_MM","Claudio","MALE","false","3","35","798",,"10","14","0.01599592765600671","0.6388888888888888","0.21481879482852212"
"Provost_MM","Provost","MALE","false","9","65","1052",,"20","45","0.17775981155427792","0.8846153846153846","0.35535236575229356"
"FriarThomas_MM","Friar Thomas","MALE","false","1","3","35",,"1","1","0","0.45098039215686275","0.02796727591301347"
"Isabella_MM","Isabella","FEMALE","false","8","129","3018",,"14","29","0.08148680480696292","0.71875","0.26913027177589"
"Nun_MM","Francisca","FEMALE","false","1","2","76",,"2","2","0","0.46938775510204084","0.05364302294924904"
"Elbow_MM","Elbow","MALE","false","2","28","600",,"9","12","0.008915239350021958","0.6216216216216216","0.20822727030239616"
"Froth_MM","Froth","MALE","false","1","8","58",,"6","6","0","0.5348837209302325","0.1387212233134362"
"Justice_MM","Justice","MALE","false","1","3","10",,"6","6","0","0.5348837209302325","0.1387212233134362"
"SERVANTS.1_MM","Servant","UNKNOWN","false","2","3","34",,"4","6","0","0.5348837209302325","0.10887928762640464"
"Juliet_MM","Juliet","FEMALE","false","1","7","63",,"2","2","0","0.5111111111111111","0.060253811189119925"
"Boy_MM","Boy","MALE","false","1","1","41",,"3","3","0","0.48936170212765956","0.06903733352374734"
"Mariana_MM","Mariana","FEMALE","false","3","24","484",,"8","12","0.01000119774823332","0.6052631578947368","0.18289438930812646"
"Abhorson_MM","Abhorson","MALE","false","2","13","141",,"8","11","0.00401844532279315","0.6052631578947368","0.18752867377790242"
"Messenger_MM","Messenger","MALE","false","1","1","41",,"5","5","0","0.5476190476190477","0.12509233063556657"
"Barnardine_MM","Barnardine","MALE","false","1","7","112",,"6","6","0","0.575","0.1592173250303798"
"FriarPeter_MM","Friar Peter","MALE","false","3","7","273",,"7","10","0","0.5897435897435898","0.17714422308092287"
