id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Egeon_Err","Egeon","MALE","false","2","17","1097",,"13","14","0.05228758169934641","0.782608695652174","0.2424385532859399"
"Duke_Err","Duke","MALE","false","2","23","693",,"13","14","0.05228758169934641","0.782608695652174","0.2424385532859399"
"OFFICERS.Jailer_Err","Officer","MALE","false","1","1","4",,"2","2","0","0.46153846153846156","0.03656826808886774"
"Merchant1_Err","First Merchant","MALE","false","1","3","114",,"3","3","0","0.5294117647058824","0.06337869239729411"
"AntipholusOfSyracuse_Err","Antipholus of Syracuse","MALE","false","6","103","2083",,"15","31","0.03825604315800393","0.8571428571428571","0.2694212605479449"
"DromioOfSyracuse_Err","Dromio of Syracuse","MALE","false","9","99","2075",,"17","44","0.07420375557630458","0.9473684210526315","0.2854703260035482"
"DromioOfEphesus_Err","Dromio of Ephesus","MALE","false","6","63","1356",,"17","36","0.07420375557630458","0.9473684210526315","0.28547032600354827"
"Adriana_Err","Adriana","FEMALE","false","6","79","2093",,"16","33","0.039345367776740324","0.9","0.2810256255631142"
"Luciana_Err","Luciana","FEMALE","false","6","43","760",,"14","30","0.009933603070857973","0.8181818181818182","0.26497656010751086"
"AntipholusOfEphesus_Err","Antipholus of Ephesus","MALE","false","4","76","1745",,"16","31","0.039345367776740324","0.9","0.28102562556311417"
"Balthasar_Err","Balthasar","MALE","false","1","5","202",,"6","6","0","0.5806451612903226","0.11442330057587301"
"Luce_Err","Luce","FEMALE","false","1","7","63",,"6","6","0","0.5806451612903226","0.11442330057587301"
"Angelo_Err","Angelo","MALE","false","4","31","634",,"15","26","0.029774872912127815","0.8571428571428571","0.2697616352158124"
"Merchant2_Err","Second Merchant","MALE","false","2","13","268",,"13","17","0.0036310820624546117","0.782608695652174","0.25371256976020906"
"OFFICERS.X_Err","Attendants, Servants to Pinch, Headsman, Officers","UNKNOWN","true","2","11","95",,"10","13","0.0016339869281045752","0.6666666666666666","0.19732859422260013"
"Courtesan_Err","Courtesan","FEMALE","false","3","11","293",,"14","22","0.009933603070857973","0.8181818181818182","0.2649765601075108"
"Pinch_Err","Dr. Pinch","MALE","false","1","6","103",,"8","8","0","0.6206896551724138","0.16061781986703694"
"Abbess_Err","Lady Abbess","FEMALE","false","1","16","552",,"12","12","0","0.75","0.23987409244648156"
"Messenger_Err","Messenger","MALE","false","1","2","130",,"12","12","0","0.75","0.23987409244648156"
