id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Leonato_Ado","Leonato","MALE","false","9","121","2642",,"18","55","0.03447831015447115","0.78125","0.2791888999233856"
"MESSENGERS.LEONATO.1_Ado","Messenger","MALE","false","2","16","211",,"9","10","0.0027380952380952383","0.6097560975609756","0.15734670771264098"
"Beatrice_Ado","Beatrice","FEMALE","false","8","106","2359",,"16","49","0.017485539010926008","0.7352941176470589","0.2575721517704505"
"Hero_Ado","Hero","FEMALE","false","6","44","980",,"15","40","0.010310935836322834","0.7142857142857143","0.24991317122834514"
"DonPedro_Ado","Don Pedro","MALE","false","8","134","2461",,"20","54","0.10781164348780449","0.8333333333333334","0.2850202466957271"
"Benedick_Ado","Signior Benedick","MALE","false","8","137","3761",,"18","54","0.03447831015447115","0.78125","0.2791888999233856"
"DonJohn_Ado","Don John","MALE","false","6","41","900",,"15","33","0.02895297967140072","0.7142857142857143","0.24516426462429602"
"Claudio_Ado","Count Claudio","MALE","false","8","125","2012",,"20","54","0.10781164348780449","0.8333333333333334","0.28502024669572706"
"LeonatosBrother_Ado","Leonato’s Brother","MALE","false","4","19","396",,"16","28","0.019721696397857397","0.7352941176470589","0.26105280200276926"
"Conrade_Ado","Conrade","MALE","false","3","20","248",,"8","14","0.008757309941520467","0.5434782608695652","0.075647861665874"
"Borachio_Ado","Borachio","MALE","false","6","38","997",,"19","34","0.16010105656297607","0.8064516129032258","0.26073850109698804"
"Margaret_Ado","Margaret","FEMALE","false","4","26","548",,"12","21","0","0.6578947368421053","0.2187768051148258"
"Balthasar_Ado","Balthasar","MALE","false","2","8","180",,"13","18","0.005174603174603175","0.6756756756756757","0.2264357856569312"
"Ursula_Ado","Ursula","FEMALE","false","4","19","362",,"12","21","0","0.6578947368421053","0.2187768051148258"
"Antonio_Ado","Signior Antonio","MALE","false","1","3","19",,"12","12","0","0.6578947368421053","0.2187768051148258"
"Boy_Ado","Boy","MALE","false","1","2","6",,"6","6","0","0.5102040816326531","0.11502404386738821"
"Dogberry_Ado","Dogberry","MALE","false","4","54","1541",,"13","22","0.058591716218651196","0.6756756756756757","0.16231988390554858"
"Verges_Ado","Verges","MALE","false","4","18","185",,"13","22","0.058591716218651196","0.6756756756756757","0.1623198839055486"
"WATCHMEN.1_Ado","First Watchman","MALE","false","2","7","101",,"7","12","0.0005555555555555556","0.5208333333333334","0.059323345857365005"
"WATCHMEN.Seacoal_Ado","George Seacoal","UNKNOWN","false","2","11","106",,"7","12","0.0005555555555555556","0.5208333333333334","0.059323345857365005"
"WATCHMEN.2_Ado","Second Watchman","MALE","false","1","2","24",,"6","6","0","0.5102040816326531","0.05561972822950085"
"FriarFrancis_Ado","Friar Francis","MALE","false","2","16","592",,"9","15","0.00055","0.5555555555555556","0.1632945728053363"
"Sexton_Ado","Sexton","MALE","false","1","7","106",,"6","6","0","0.5102040816326531","0.05561972822950085"
"ATTENDANTS.0.1_Ado","Musicians, Lords, Attendants, Son to Leonato’s brother","UNKNOWN","true","1","1","4",,"3","3","0","0.4807692307692308","0.04378810109969373"
"MUSICIANS_Ado","Musicians, Lords, Attendants, Son to Leonato’s brother","UNKNOWN","true","1","1","48",,"3","3","0","0.4807692307692308","0.04378810109969373"
"MESSENGERS.DONPEDRO.1_Ado","Messenger","MALE","false","1","1","17",,"8","8","0","0.5319148936170213","0.14697005699682728"
