id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"King_LLL","King","MALE","false","4","116","2050",,"19","35","0.016666666666666666","0.9523809523809523","0.24460898449163135"
"Longaville_LLL","Longaville","MALE","false","4","40","518",,"19","35","0.016666666666666666","0.9523809523809523","0.24460898449163135"
"Dumaine_LLL","Dumaine","MALE","false","4","54","544",,"19","35","0.016666666666666666","0.9523809523809523","0.24460898449163135"
"Berowne_LLL","Berowne","MALE","false","5","160","4594",,"19","38","0.016666666666666666","0.9523809523809523","0.2446089844916313"
"Dull_LLL","Dull Constable","MALE","false","4","15","236",,"10","18","0","0.6666666666666666","0.1358015407015384"
"Costard_LLL","Costard Clown Swain","MALE","false","8","83","1533",,"19","47","0.032514619883040934","0.9523809523809523","0.2414436764091304"
"Armado_LLL","Armado Braggart","MALE","false","4","102","1733",,"18","28","0.009356725146198832","0.9090909090909091","0.2375960170363515"
"Boy_LLL","Boy Page Mote","MALE","false","4","78","1107",,"18","28","0.009356725146198832","0.9090909090909091","0.2375960170363515"
"Jaquenetta_LLL","Jaquenetta Wench","FEMALE","false","3","13","100",,"10","13","0","0.6666666666666666","0.1358015407015384"
"Boyet_LLL","Boyet","MALE","false","3","78","1522",,"18","30","0.018625730994152045","0.9090909090909091","0.23335169291452132"
"Princess_LLL","Princess","FEMALE","false","3","104","2179",,"18","30","0.018625730994152045","0.9090909090909091","0.23335169291452132"
"LORDS.0_LLL","Lords, Blackamoors, Musicians","UNKNOWN","true","1","2","7",,"9","9","0","0.6451612903225806","0.12610129635142697"
"Maria_LLL","Maria","FEMALE","false","3","19","295",,"18","30","0.018625730994152045","0.9090909090909091","0.23335169291452132"
"Katherine_LLL","Katherine","FEMALE","false","2","29","388",,"17","25","0.004678362573099416","0.8695652173913043","0.22950403354174242"
"Rosaline_LLL","Rosaline","FEMALE","false","3","72","1333",,"18","30","0.018625730994152045","0.9090909090909091","0.23335169291452132"
"Forester_LLL","Forester","MALE","false","1","5","45",,"5","5","0","0.5714285714285714","0.06918548708620055"
"Nathaniel_LLL","Nathaniel Curate","MALE","false","3","19","520",,"18","25","0.009356725146198832","0.9090909090909091","0.2375960170363515"
"Holofernes_LLL","Holofernes Pedant","MALE","false","3","55","1302",,"18","25","0.009356725146198832","0.9090909090909091","0.2375960170363515"
"Marcade_LLL","Monsieur Marcade","MALE","false","1","3","28",,"16","16","0","0.8333333333333334","0.22249106608646257"
"Spring_LLL","Lords, Blackamoors, Musicians","UNKNOWN","true","1","1","96",,"16","16","0","0.8333333333333334","0.22249106608646263"
"Winter_LLL","Lords, Blackamoors, Musicians","UNKNOWN","true","1","1","105",,"16","16","0","0.8333333333333334","0.22249106608646263"
