id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Theseus_MND","Theseus","MALE","false","3","49","1724",,"19","32","0.00848155467720685","0.8275862068965517","0.22977020144692656"
"Hippolyta_MND","Hippolyta","FEMALE","false","3","14","250",,"19","32","0.00848155467720685","0.8275862068965517","0.22977020144692656"
"Egeus_MND","Egeus","MALE","false","2","7","296",,"13","19","0","0.6857142857142857","0.16784121343138056"
"Hermia_MND","Hermia","FEMALE","false","4","48","1284",,"16","33","0.010869565217391304","0.75","0.1843614081418152"
"Demetrius_MND","Demetrius","MAE","false","6","48","1066",,"23","51","0.046525032938076416","0.96","0.24988762520487445"
"Lysander_MND","Lysander","MALE","false","5","50","1395",,"22","46","0.03239459815546772","0.9230769230769231","0.24629039615736115"
"Helena_MND","Helena","FEMALE","false","5","36","1816",,"17","38","0.019565217391304342","0.7741935483870968","0.1879586371893285"
"Quince_MND","Peter Quince","MALE","false","4","40","962",,"17","32","0.004658385093167702","0.7741935483870968","0.20770498979621113"
"Bottom_MND","Nick Bottom","MALE","false","5","59","2040",,"20","45","0.013139939770374554","0.8571428571428571","0.2364703189743515"
"Flute_MND","Francis Flute","MALE","false","4","18","355",,"17","32","0.004658385093167702","0.7741935483870968","0.20770498979621113"
"Starveling_MND","Robin Starveling"," MALE","false","4","7","94",,"17","32","0.004658385093167702","0.7741935483870968","0.20770498979621113"
"Snout_MND","Tom Snout","MALE","false","3","9","165",,"17","28","0.004658385093167702","0.7741935483870968","0.20770498979621113"
"Snug_MND","Snug","MALE","false","3","4","125",,"13","22","0","0.6857142857142857","0.16605205413353288"
"RobinGoodfellow_MND","Robin Goodfellow","MALE","false","6","33","1370",,"24","55","0.05842979484283833","1","0.25658774273229945"
"FAIRIES.TITANIA.1_MND","A Fairy","FEMALE","false","1","3","187",,"5","5","0","0.5581395348837209","0.06754937546747597"
"Oberon_MND","Oberon","MALE","false","5","29","1607",,"23","45","0.046525032938076416","0.96","0.24988762520487445"
"Titania_MND","Titania","FEMALE","false","5","23","1080",,"24","50","0.05842979484283833","1","0.25658774273229945"
"FAIRIES.TITANIA.0.1_MND","Other Fairies in the trains of Titania and Oberon","UNKNOWN","true","1","2","44",,"9","9","0","0.6153846153846154","0.1034059060119219"
"FAIRIES.TITANIA_MND","Other Fairies in the trains of Titania and Oberon","UNKNOWN","true","1","2","60",,"9","9","0","0.6153846153846154","0.1034059060119219"
"FAIRIES.TITANIA.0.2_MND","Other Fairies in the trains of Titania and Oberon","UNKNOWN","true","1","1","10",,"9","9","0","0.6153846153846154","0.1034059060119219"
"FAIRIES.TITANIA.Peaseblossom_MND","Peaseblossom","MALE","false","2","4","9",,"18","23","0.007575757575757577","0.8","0.21878483484866565"
"FAIRIES.TITANIA.Cobweb_MND","Cobweb","MALE","false","2","4","9",,"18","23","0.007575757575757577","0.8","0.21878483484866565"
"FAIRIES.TITANIA.Mote_MND","Mote",,"false","1","2","7",,"10","10","0","0.631578947368421","0.1258173375017564"
"FAIRIES.TITANIA.Mustardseed_MND","Mustardseed","MALE","false","2","5","12",,"18","23","0.007575757575757577","0.8","0.21878483484866565"
"Philostrate_MND","Philostrate","MALE","false","1","6","183",,"13","13","0","0.6857142857142857","0.16605205413353288"
