id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Antonio_MV","Antonio","MALE","false","6","47","1434",,"13","28","0.018788819875776394","0.696969696969697","0.2848827010314598"
"Salarino_MV","Salarino","MALE","false","5","25","701",,"10","18","0.032377767160375846","0.575","0.19928884538201186"
"Solanio_MV","Solanio","MALE","false","5","19","544",,"9","16","0.02549576027836897","0.5609756097560976","0.17690275778271544"
"Bassanio_MV","Bassanio","MALE","false","6","73","2525",,"16","33","0.08026864439907916","0.7666666666666667","0.3125356636968677"
"Lorenzo_MV","Lorenzo","MALE","false","7","47","1329",,"13","34","0.035601958428045394","0.696969696969697","0.27228498885518787"
"Gratiano_MV","Gratiano","MALE","false","8","48","1373",,"16","41","0.08026864439907916","0.7666666666666667","0.3125356636968677"
"Portia_MV","Portia","FEMALE","false","9","117","4599",,"17","35","0.2202031060726712","0.7931034482758621","0.2916164218679027"
"Nerissa_MV","Nerissa","FEMALE","false","7","36","695",,"16","33","0.13324658433354086","0.7666666666666667","0.289570403834621"
"SERVANTS.1_MV","SERVANTS.1_MV","MALE","false","1","1","35",,"2","2","0","0.46","0.050763306869394134"
"Shylock_MV","Shylock","MALE","false","5","79","2881",,"13","17","0.10672745129266868","0.696969696969697","0.25654444911331487"
"Morocco_MV","Morocco","MALE","false","2","7","800",,"1","2","0","0.45098039215686275","0.025471005457257945"
"LanceletGobbo_MV","Lancelet Gobbo","MALE","false","6","44","1452",,"13","21","0.053792584227366824","0.696969696969697","0.2661434216597436"
"OldGobbo_MV","Old Gobbo","MALE","false","1","19","292",,"4","4","0","0.46938775510204084","0.08529285827248818"
"ATTENDANTS.BASSANIO.Leonardo_MV","Leonardo","MALE","false","1","2","11",,"4","4","0","0.46938775510204084","0.08529285827248818"
"Jessica_MV","Jessica","FEMALE","false","7","26","660",,"13","28","0.027169810865463034","0.696969696969697","0.2786824138214141"
"Arragon_MV","Arragon","MALE","false","1","4","496",,"3","3","0","0.46938775510204084","0.055621467523195293"
"Messenger_MV","Messenger","MALE","false","1","2","76",,"3","3","0","0.46938775510204084","0.055621467523195293"
"SERVANTS.2_MV","SERVANTS.2_MV","MALE","false","1","1","15",,"4","4","0","0.45098039215686275","0.06055638594546806"
"Tubal_MV","Tubal","MALE","false","1","8","96",,"4","4","0","0.45098039215686275","0.06055638594546806"
"MUSICIANS_MV","Musicians","UNKNOWN","true","1","2","53",,"7","7","0","0.5609756097560976","0.173663967597172"
"Salerio_MV","Salerio","MALE","false","2","6","174",,"10","14","0.004240686849382501","0.6388888888888888","0.2310393393482767"
"ATTENDANTS.PORTIA.Balthazar_MV","Balthazar","MALE","false","1","1","7",,"4","4","0","0.5","0.09888730085238188"
"Duke_MV","Duke_MV","MALE","false","1","17","419",,"7","7","0","0.5897435897435898","0.17283098844724995"
"ATTENDANTS.PORTIA.Stephano_MV","Stephano","MALE","false","1","3","54",,"8","8","0","0.575","0.20161330749876696"
