id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Orlando_AYL","Orlando","MALE","false","9","120","2370",,"18","37","0.1501831101881379","0.75","0.35227622847714146"
"Adam_AYL","Adam","MALE","false","4","10","513",,"8","11","0.02140309553582555","0.5294117647058824","0.15371529170059833"
"Oliver_AYL","Oliver","MALE","false","4","37","1164",,"9","12","0.01875593542260209","0.5192307692307693","0.18810166084179655"
"Dennis_AYL","Dennis","MALE","false","1","2","17",,"4","4","0","0.4576271186440678","0.08346301112369182"
"Charles_AYL","Charles","MALE","false","2","8","375",,"9","10","0.022929015010462975","0.574468085106383","0.18569663996973435"
"Celia_AYL","Celia","FEMALE","false","7","108","2106",,"10","25","0.01912610925934204","0.6136363636363636","0.23112777198208326"
"Rosalind_AYL","Rosalind","FEMALE","false","11","201","5697",,"14","39","0.045065427933703446","0.675","0.31048908803689906"
"Touchstone_AYL","Touchstone","MALE","false","7","74","2374",,"18","32","0.254397751104639","0.75","0.32121979107279947"
"LORDS.FREDERICK.LeBeau_AYL","Le Beau","MALE","false","1","14","371",,"6","6","0","0.54","0.14884739973391886"
"DukeFrederick_AYL","Duke Frederick","MALE","false","4","20","529",,"9","11","0.14488668696813495","0.574468085106383","0.16820083369901814"
"DukeSenior_AYL","Duke Senior","MALE","false","3","32","808",,"12","16","0.04026747231875436","0.6136363636363636","0.2558192551553029"
"LORDS.SENIOR.Amiens_AYL","Amiens","MALE","false","3","11","278",,"7","10","0.016573613154809735","0.5192307692307693","0.12432886942747656"
"LORDS.SENIOR.0.1_AYL","First Lord","MALE","false","3","6","320",,"6","10","0.004221150802347383","0.5094339622641509","0.12075967251405709"
"LORDS.SENIOR.0.2_AYL","Second Lord","MALE","false","2","3","32",,"4","5","0","0.43548387096774194","0.0769169574395317"
"LORDS.FREDERICK.0.1_AYL","First Lord","MALE","false","1","1","32",,"2","2","0","0.375","0.017629118077021583"
"LORDS.FREDERICK.0.2_AYL","Second Lord","MALE","false","1","1","63",,"2","2","0","0.375","0.017629118077021583"
"Corin_AYL","Corin","MALE","false","4","24","549",,"8","14","0.018047420988597462","0.5625","0.18469684645754747"
"Silvius_AYL","Silvius","MALE","false","5","24","540",,"11","21","0.01106089179241517","0.6","0.2669277335230189"
"Jaques_AYL","Jaques","MALE","false","7","57","1769",,"17","28","0.17835630563131818","0.6923076923076923","0.3098763318095515"
"LORDS.SENIOR_AYL","Lords, Attendants, Musicians","UNKNOWN","true","1","0","39",,"2","2","0","0.421875","0.04119195024267402"
"Audrey_AYL","Audrey","FEMALE","false","3","12","149",,"7","9","0.026475376475376476","0.5294117647058824","0.0977154338735314"
"OliverMartext_AYL","Sir Oliver Martext","MALE","false","1","3","36",,"3","3","0","0.4909090909090909","0.06914061975940078"
"Phoebe_AYL","Phoebe","FEMALE","false","3","23","694",,"9","14","0.005458614621510549","0.574468085106383","0.230897669431974"
"William_AYL","William","MALE","false","1","11","41",,"3","3","0","0.45","0.05726519812559325"
"SERVANTS.1_AYL","First Page","UNKNOWN","false","1","3","213",,"3","3","0","0.45","0.0439091087649713"
"SERVANTS.2_AYL","Second Page","UNKNOWN","false","1","2","196",,"3","3","0","0.45","0.0439091087649713"
"Hymen_AYL","Hymen",,"false","1","2","134","Q506770","8","8","0","0.5625","0.21459925444888814"
"SecondBrother_AYL","Second Brother","MALE","false","1","2","128",,"8","8","0","0.5625","0.21459925444888814"
