id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Sly_Shr","Christopher Sly","MALE","false","3","24","522",,"22","26","0.19594594594594592","0.7115384615384616","0.23331625708867468"
"Hostess_Shr","characters in the Induction","UNKNOWN","true","1","3","26",,"9","9","0","0.4625","0.06937531161136183"
"Lord_Shr","characters in the Induction","UNKNOWN","true","2","17","1059",,"14","16","0.017517517517517515","0.49333333333333335","0.1007605095152985"
"HUNTSMEN.0.1_Shr","characters in the Induction","UNKNOWN","true","1","2","38",,"9","9","0","0.4625","0.06937531161136183"
"HUNTSMEN.0.2_Shr","characters in the Induction","UNKNOWN","true","1","2","29",,"9","9","0","0.4625","0.06937531161136182"
"HUNTSMEN.0.3_Shr","characters in the Induction","UNKNOWN","true","1","2","36",,"9","9","0","0.4625","0.06937531161136183"
"SERVANTS.LORD.0.1_Shr","characters in the Induction","UNKNOWN","true","3","6","142",,"22","26","0.19594594594594592","0.7115384615384616","0.23331625708867468"
"PLAYERS_Shr","characters in the Induction","UNKNOWN","true","1","1","4",,"9","9","0","0.4625","0.06937531161136183"
"PLAYERS.0.1_Shr","characters in the Induction","UNKNOWN","true","1","2","24",,"9","9","0","0.4625","0.06937531161136183"
"PLAYERS.0.2_Shr","characters in the Induction","UNKNOWN","true","1","1","8",,"9","9","0","0.4625","0.06937531161136183"
"SERVANTS.LORD.0.2_Shr","characters in the Induction","UNKNOWN","true","1","4","103",,"7","7","0","0.45121951219512196","0.06876609696800554"
"SERVANTS.LORD.0.3_Shr","characters in the Induction","UNKNOWN","true","1","4","99",,"7","7","0","0.45121951219512196","0.06876609696800554"
"SERVANTS.LORD_Shr","characters in the Induction","UNKNOWN","true","1","0","1",,"7","7","0","0.45121951219512196","0.06876609696800554"
"Page_Shr","characters in the Induction","UNKNOWN","true","2","8","122",,"15","17","0.05755755755755758","0.6271186440677966","0.20132184454138172"
"Messenger_Shr","characters in the Induction","UNKNOWN","true","1","1","61",,"7","7","0","0.45121951219512196","0.06876609696800554"
"Lucentio_Shr","Lucentio","MALE","false","8","61","1371",,"16","55","0.03074324324324324","0.6379310344827587","0.24574483152561466"
"Tranio_Shr","Tranio","MALE","false","8","92","2262",,"15","58","0.014727227227227227","0.6271186440677966","0.2422719498026444"
"Baptista_Shr","Baptista Minola","MALE","false","6","68","1289",,"15","47","0.014727227227227227","0.6271186440677966","0.2422719498026444"
"Gremio_Shr","Gremio","MALE","false","6","57","1329",,"15","49","0.014727227227227227","0.6271186440677966","0.2422719498026444"
"Katherine_Shr","Katherine","FEMALE","false","8","82","1761",,"24","60","0.25321571571571555","0.74","0.29552715986671385"
"Hortensio_Shr","Hortensio","MALE","false","8","70","1575",,"18","48","0.06377627627627627","0.6607142857142857","0.2559391523430665"
"Bianca_Shr","Bianca","FEMALE","false","7","29","544",,"16","51","0.03074324324324324","0.6379310344827587","0.24574483152561466"
"Biondello_Shr","Biondello","MALE","false","7","40","817",,"15","52","0.014727227227227227","0.6271186440677966","0.24227194980264444"
"Petruchio_Shr","Petruchio","MALE","false","8","158","4609",,"21","56","0.05895895895895896","0.5692307692307692","0.2515212385012614"
"Grumio_Shr","Grumio","MALE","false","4","62","1454",,"18","28","0.03953953953953955","0.5441176470588235","0.21665480623917804"
"SERVANTS.BAPTISTA.1_Shr","SERVANTS.BAPTISTA.1_Shr","UNKNOWN","false","1","1","23",,"3","3","0","0.4111111111111111","0.052714360512601074"
"Curtis_Shr","Curtis","MALE","false","1","20","170",,"9","9","0","0.47435897435897434","0.09337436918553933"
"SERVANTS.PETRUCHIO.Nathaniel_Shr","Nathaniel","MALE","false","1","4","27",,"9","9","0","0.47435897435897434","0.09337436918553933"
"SERVANTS.PETRUCHIO.Phillip_Shr","Phillip","MALE","false","1","1","8",,"9","9","0","0.47435897435897434","0.09337436918553933"
"SERVANTS.PETRUCHIO.Joseph_Shr","Joseph","MALE","false","1","1","7",,"9","9","0","0.47435897435897434","0.09337436918553933"
"SERVANTS.PETRUCHIO.Nicholas_Shr","Nicholas","MALE","false","1","1","7",,"9","9","0","0.47435897435897434","0.09337436918553933"
"SERVANTS.PETRUCHIO.Peter_Shr","Peter","MALE","false","1","2","13",,"9","9","0","0.47435897435897434","0.09337436918553933"
"SERVANTS.PETRUCHIO.0.4_Shr","SERVANTS.PETRUCHIO.0.4_Shr","UNKNOWN","false","1","1","1",,"9","9","0","0.47435897435897434","0.09337436918553933"
"Merchant_Shr","Merchant_Shr","MALE","false","3","20","377",,"10","18","0","0.4868421052631579","0.17262021909676117"
"Haberdasher_Shr","Haberdasher_Shr","MALE","false","1","1","8",,"5","5","0","0.4567901234567901","0.07736936635384847"
"Tailor_Shr","Tailor_Shr","MALE","false","1","12","111",,"5","5","0","0.4567901234567901","0.07736936635384847"
"Vincentio_Shr","Vincentio","MALE","false","3","23","346",,"11","22","0.00015015015015015017","0.49333333333333335","0.18399262150285034"
"Widow_Shr","Widow_Shr","FEMALE","false","1","8","76",,"10","10","0","0.4868421052631579","0.17262021909676117"
