id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Countess_AWW","Countess","FEMALE","false","7","87","2112",,"14","25","0.05748929201310153","0.6508928571428572","0.23817800028506703"
"Bertram_AWW","Bertram","MALE","false","10","102","2033",,"20","44","0.13151927437641722","0.7657563025210083","0.32087932754398496"
"Lafew_AWW","Lafew","MALE","false","7","98","2209",,"17","35","0.038095238095238085","0.7036679536679536","0.30531146651824626"
"Helen_AWW","Helen","FEMALE","false","12","109","3545",,"21","49","0.1716143864953389","0.788961038961039","0.32633417763571976"
"Parolles_AWW","Parolles","MALE","false","11","142","2995",,"22","51","0.1933767951625095","0.8136160714285714","0.3358980749298405"
"Page_AWW","Page","MALE","false","1","1","7",,"5","5","0","0.5313411078717201","0.12775521661142378"
"King_AWW","King","MALE","false","4","86","2754",,"16","26","0.0403880070546737","0.6851503759398496","0.2918033007098786"
"ATTENDANTS.KING.0.1_AWW","Attendants, Soldiers, Citizens of Florence, Servants","UNKNOWN","true","2","4","32",,"10","12","0.01146384479717813","0.5917207792207793","0.21067175375685276"
"ATTENDANTS.KING.0.2_AWW","Attendants, Soldiers, Citizens of Florence, Servants","UNKNOWN","true","1","2","29",,"3","3","0","0.44889162561576357","0.06890324779731977"
"Steward_AWW","Steward","MALE","false","2","6","345",,"3","4","0","0.45676691729323304","0.056955144093797996"
"Fool_AWW","Fool","MALE","false","6","59","1671",,"7","14","0.01329050138573948","0.5313411078717201","0.11607151605766013"
"LORDS.DUMAINE.1_AWW","First Lord","MALE","false","5","59","1100",,"11","20","0.0392164273116654","0.6054817275747508","0.1764808885922823"
"LORDS.DUMAINE.2_AWW","Second Lord","MALE","false","4","37","837",,"9","16","0.014965986394557826","0.5785714285714285","0.16783030208215075"
"LORDS.COURT.1_AWW","LORDS.COURT.1_AWW","UNKNOWN","true","1","1","11",,"8","8","0","0.5659937888198758","0.17657302619648074"
"LORDS.COURT.2_AWW","LORDS.COURT.2_AWW","UNKNOWN","true","1","1","13",,"8","8","0","0.5659937888198758","0.17657302619648074"
"LORDS.COURT.3_AWW","LORDS.COURT.3_AWW","UNKNOWN","true","1","0","8",,"8","8","0","0.5659937888198758","0.17657302619648074"
"LORDS.COURT.4_AWW","LORDS.COURT.4_AWW","UNKNOWN","true","1","1","14",,"8","8","0","0.5659937888198758","0.17657302619648074"
"Duke_AWW","Duke","MALE","false","2","6","124",,"3","3","0","0.46492346938775514","0.055667679254501445"
"GENTLEMEN.1_AWW","First Gentleman","MALE","false","1","6","61",,"4","4","0","0.46492346938775514","0.06215674208871659"
"GENTLEMEN.2_AWW","Second Gentleman","MALE","false","1","6","79",,"4","4","0","0.46492346938775514","0.06215674208871659"
"Widow_AWW","Widow","FEMALE","false","5","21","435",,"10","18","0.00496031746031746","0.5917207792207793","0.2123754447607829"
"Diana_AWW","Diana","FEMALE","false","4","44","1024",,"10","16","0.00496031746031746","0.5917207792207793","0.2123754447607829"
"Mariana_AWW","Mariana","FEMALE","false","1","5","172",,"4","4","0","0.5006868131868132","0.09096521687191655"
"SOLDIERS.Interpreter_AWW","First Soldier","MALE","false","2","38","598",,"7","9","0.006172839506172838","0.5207142857142858","0.10087004146111497"
"SOLDIERS_AWW","Attendants, Soldiers, Citizens of Florence, Servants","UNKNOWN","true","1","1","7",,"4","4","0","0.48214285714285715","0.0560083073083979"
"SOLDIERS.0.1_AWW","Attendants, Soldiers, Citizens of Florence, Servants","UNKNOWN","true","1","2","7",,"4","4","0","0.48214285714285715","0.0560083073083979"
"Servant_AWW","Attendants, Soldiers, Citizens of Florence, Servants","UNKNOWN","true","1","1","34",,"5","5","0","0.5006868131868132","0.09221945495098344"
"GENTLEMEN.3_AWW","Gentleman","MALE","false","2","8","125",,"9","11","0","0.5785714285714285","0.20535081436315594"
"Epilogue_AWW","Attendants, Soldiers, Citizens of Florence, Servants","UNKNOWN","true","1","1","52",,"0","0","0","0","9.661171402616942E-15"
