id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Orsino_TN","Orsino","MALE","false","4","59","1617",,"13","18","0.057598039215686285","0.8095238095238095","0.23961101185267192"
"ATTENDANTS.ORSINO.Curio_TN","Curio","MALE","false","2","4","41",,"4","5","0.0024509803921568627","0.5666666666666667","0.06466204352856371"
"ATTENDANTS.ORSINO.Valentine_TN","Valentine","MALE","false","2","3","102",,"3","4","0","0.5483870967741935","0.04632835194846087"
"Viola_TN","Viola Cesario","FEMALE","false","8","122","2564",,"17","37","0.22528594771241833","1","0.2880735001753691"
"Captain_TN","Captain","MALE","false","1","10","239",,"1","1","0","0.5151515151515151","0.02253057009353391"
"TobyBelch_TN","Sir Toby Belch","MALE","false","10","152","2565",,"14","50","0.00959967320261438","0.85","0.27838797579359004"
"Maria_TN","Maria","FEMALE","false","7","59","1216",,"11","31","0.001633986928104575","0.7391304347826086","0.22741333890396698"
"AndrewAguecheek_TN","Sir Andrew Aguecheek","MALE","false","8","88","1171",,"14","42","0.00959967320261438","0.85","0.27838797579359004"
"Feste_TN","Fool","MALE","false","7","104","2443",,"13","34","0.028186274509803922","0.8095238095238095","0.25274634828443854"
"Olivia_TN","Olivia","FEMALE","false","6","119","2311",,"14","35","0.00959967320261438","0.85","0.27838797579359004"
"Malvolio_TN","Malvolio","MALE","false","7","87","2224",,"14","38","0.00959967320261438","0.85","0.27838797579359004"
"Antonio_TN","Antonio","MALE","false","4","27","803",,"14","23","0.00959967320261438","0.85","0.27838797579359004"
"Sebastian_TN","Sebastian","MALE","false","5","31","1005",,"11","18","0","0.7391304347826086","0.2315598219051404"
"Fabian_TN","Fabian","MALE","false","4","51","767",,"14","28","0.00959967320261438","0.85","0.27838797579359004"
"ATTENDANTS.OLIVIA.1_TN","Lords, Sailors, Musicians, and other Attendants","UNKNOWN","true","1","1","21",,"10","10","0","0.7083333333333334","0.20907964732386417"
"OFFICERS.1_TN","OFFICERS.1_TN","MALE","false","2","5","100",,"14","21","0.00959967320261438","0.85","0.27838797579359004"
"OFFICERS.2_TN","OFFICERS.2_TN","MALE","false","1","3","19",,"10","10","0","0.7083333333333334","0.20907964732386414"
"Priest_TN","Priest","MALE","false","1","1","57",,"11","11","0","0.7391304347826086","0.2315598219051404"
