id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Archidamus_WT","Archidamus","MALE","false","1","7","176",,"1","1","0","0.38130252100840334","0.01821561553322372"
"Camillo_WT","Camillo","MALE","false","5","72","2094",,"14","20","0.09881619877522263","0.6159502262443438","0.21978429620562187"
"Polixenes_WT","Polixenes","MALE","false","4","57","1960",,"13","19","0.04177520055775382","0.6043285238623751","0.21839013836186352"
"Leontes_WT","Leontes","MALE","false","6","126","4903",,"20","37","0.09567339067926806","0.6536614645858343","0.30768453267941415"
"Hermione_WT","Hermione","FEMALE","false","4","35","1584",,"15","23","0.04109042469003396","0.5931372549019608","0.248782726477052"
"Mamillius_WT","Mamillius","MALE","false","2","13","151",,"8","10","0.00913653847794011","0.5084033613445378","0.13329996736595368"
"LADIES.0.1_WT","LADIES.0.1_WT","UNKNOWN","true","1","4","49",,"6","6","0","0.457563025210084","0.09976375618049299"
"LADIES.0.2_WT","LADIES.0.2_WT","UNKNOWN","true","1","3","21",,"6","6","0","0.457563025210084","0.09976375618049299"
"ATTENDANTS.0.1_WT","ATTENDANTS.0.1_WT","UNKNOWN","true","3","14","242",,"14","21","0.019786989756029997","0.5338235294117647","0.21435555505299933"
"Antigonus_WT","Antigonus","MALE","false","3","19","785",,"14","16","0.1213835811085856","0.6043285238623751","0.1998480627946663"
"Paulina_WT","Paulina","FEMALE","false","5","59","2390",,"19","29","0.1652056112810074","0.6405882352941177","0.2861699737875316"
"Jailer_WT","Jailer","MALE","false","1","6","72",,"2","2","0","0.3954248366013072","0.025860675108063728"
"LADIES.Emilia_WT","Emilia","FEMALE","false","1","4","142",,"2","2","0","0.3954248366013072","0.025860675108063728"
"SERVANTS.X.1_WT","Indeterminate member of the SERVANTS group","UNKNOWN","true","2","5","45",,"11","15","0.004635474604514852","0.5084033613445378","0.1888824833279277"
"SERVANTS.0_WT","Indistinct members of the SERVANTS group","UNKNOWN","true","1","1","12",,"7","7","0","0.4780509218612818","0.12523407929530114"
"ATTENDANTS_WT","ATTENDANTS_WT","MALE","false","2","2","19",,"11","15","0.004635474604514852","0.5084033613445378","0.1888824833279277"
"SERVANTS.X.2_WT","Indeterminate member of the SERVANTS group","UNKNOWN","true","1","1","31",,"7","7","0","0.4780509218612818","0.12523407929530114"
"Cleomenes_WT","Cleomenes","MALE","false","3","7","140",,"12","16","0.01202261184049565","0.5428713858424725","0.21421017215344595"
"Dion_WT","Dion","MALE","false","3","4","190",,"12","16","0.01202261184049565","0.5428713858424725","0.21421017215344595"
"OFFICERS.0.1_WT","Officer",,"false","1","5","80",,"8","8","0","0.44485294117647056","0.15441740571249182"
"Sailor_WT","Mariner",,"false","1","3","80",,"3","3","0","0.4511184755592378","0.04539567154685061"
"Shepherd_WT","Shepherd","MALE","false","3","42","1072",,"14","17","0.07813180121130323","0.5823529411764705","0.17394159932397374"
"ShepherdsSon_WT","Shepherd’s Son","MALE","false","4","64","1597",,"14","18","0.07813180121130323","0.5823529411764705","0.1739415993239738"
"Chorus_WT","Time","UNKNOWN","false","1","1","266",,"0","0","0","0","1.8316432667483412E-30"
"Autolycus_WT","Autolycus","MALE","false","3","67","2395",,"12","15","0.031704504333268754","0.5004595588235294","0.1551717215842698"
"Florizell_WT","Florizell","MALE","false","2","45","1391",,"15","16","0.06607669191566809","0.6280276816608997","0.2430654862342821"
"Perdita_WT","Perdita","FEMALE","false","3","25","898",,"16","21","0.07520781325519657","0.6405882352941177","0.26210618524946994"
"Dorcas_WT","Dorcas","FEMALE","false","1","11","67",,"9","9","0","0.4780509218612818","0.14369630939848985"
"Mopsa_WT","Mopsa","FEMALE","false","1","13","142",,"9","9","0","0.4780509218612818","0.14369630939848982"
"SERVANTS.SHEPHERD.1_WT","Servant","MALE","false","1","6","315",,"9","9","0","0.4780509218612818","0.14369630939848982"
"SERVANTS.X.3_WT","Indeterminate member of the SERVANTS group","UNKNOWN","true","1","5","119",,"7","7","0","0.5004595588235294","0.13803304867837202"
"ATTENDANTS.X_WT","ATTENDANTS.X_WT","MALE","false","1","4","172",,"7","7","0","0.5004595588235294","0.13803304867837202"
"ATTENDANTS.1_WT","ATTENDANTS.1_WT","MALE","false","1","6","221",,"5","5","0","0.385896527285613","0.049977540056169896"
"ATTENDANTS.2_WT","ATTENDANTS.2_WT","MALE","false","1","4","126",,"5","5","0","0.385896527285613","0.049977540056169896"
"ATTENDANTS.3_WT","ATTENDANTS.3_WT","MALE","false","1","6","594",,"5","5","0","0.385896527285613","0.049977540056169896"
