id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"RichardII_R2","King Richard II",,"false","9","98","5986","Q81000","26","45","0.27323687050577805","0.7954545454545454","0.32021004372807915"
"Gaunt_R2","John of Gaunt",,"false","4","28","1515","Q193752","13","17","0.08159530478858211","0.5932203389830508","0.1739039794774331"
"HenryIV_1H4","Henry Bolingbroke Hereford",,"false","8","90","3117","Q161866","23","43","0.0945484860610911","0.6862745098039216","0.30929058862053194"
"Mowbray_R2","Mowbray",,"false","2","13","1057","Q711992","7","10","0","0.5072463768115942","0.10391250196390546"
"DuchessOfGloucester_R2","Duchess of Gloucester",,"false","1","4","457","Q2548323","1","1","0","0.3763440860215054","0.012923631489739336"
"LordMarshal_R2","Lord Marshal",,"false","1","10","202","Q1265164","7","7","0","0.5072463768115942","0.10391250196390546"
"Aumerle_R2","Duke of Aumerle",,"false","7","38","676","Q452639","21","37","0.0887962457710357","0.660377358490566","0.2831391705345612"
"HERALDS.1_R2","First Herald","MALE","false","1","1","48",,"7","7","0","0.5072463768115942","0.10391250196390546"
"HERALDS.2_R2","Second Herald","MALE","false","1","1","48",,"7","7","0","0.5072463768115942","0.10391250196390546"
"Green_R2","Green",,"false","3","10","243","Q5722188","8","12","0.006237525313155566","0.5384615384615384","0.13319102614285003"
"Bushy_R2","Bushy",,"false","3","13","272","Q6224092","8","12","0.006237525313155566","0.5384615384615384","0.13319102614285003"
"Bagot_R2","Bagot",,"false","3","6","171","Q8004925","15","20","0.02704603053342549","0.603448275862069","0.24233710811196074"
"York_R2","Duke of York",,"false","8","55","2232","Q305002","20","42","0.06940030557677619","0.6730769230769231","0.28808447042110535"
"Queen_R2","Queen",,"false","4","25","910","Q170202","13","16","0.1727552839317545","0.5932203389830508","0.1459573734470617"
"Northumberland_R2","Earl of Northumberland",,"false","6","38","1104","Q1398378","17","34","0.044617180205415496","0.6481481481481481","0.26639620930121066"
"Ross_R2","Lord Ross",,"false","2","11","178","Q8020820","9","12","0.005714285714285713","0.5555555555555556","0.14923105789323912"
"Willoughby_R2","Lord Willoughby",,"false","2","8","102","Q2581065","9","12","0.005714285714285713","0.5555555555555556","0.14923105789323912"
"SERVANTS.YORK.1_R2","Servingmen","MALE","false","1","3","43",,"5","5","0","0.4430379746835443","0.07006044991506913"
"Hotspur_R2","Harry Percy",,"false","5","12","352","Q471421","16","30","0.025300786981459253","0.5932203389830508","0.2500820418807336"
"Berkeley_R2","Lord Berkeley",,"false","1","2","69","Q7795453","6","6","0","0.4666666666666667","0.1049549049411452"
"WelshCaptain_R2","Welsh Captain","MALE","false","1","2","121",,"1","1","0","0.330188679245283","0.0049281892357290824"
"Salisbury_R2","Earl of Salisbury",,"false","2","3","156","Q3020313","5","5","0.05714285714285715","0.4861111111111111","0.06631571663214614"
"BishopOfCarlisle_R2","Bishop of Carlisle",,"false","2","6","485","Q7792397","13","15","0.0174833569791553","0.5645161290322581","0.21811872556862566"
"Scroop_R2","Sir Stephen Scroop","MALE","false","1","6","285",,"4","4","0","0.4794520547945205","0.06597481691739318"
"LADIES.0.1_R2","LADIES.0.1_R2","UNKNOWN","true","1","6","27",,"3","3","0","0.38461538461538464","0.012740358707530522"
"Gardener_R2","Gardener","MALE","false","1","6","409",,"3","3","0","0.38461538461538464","0.012740358707530522"
"SERVANTS.GARDENER.1_R2","SERVANTS.GARDENER.1_R2","UNKNOWN","false","1","3","70",,"3","3","0","0.38461538461538464","0.012740358707530522"
"Fitzwater_R2","Lord Fitzwater",,"false","2","6","218","Q4862373","12","15","0.005126050420168067","0.5555555555555556","0.21636432003968575"
"LORDS.1_R2","Another Lord","MALE","false","1","1","43",,"11","11","0","0.5384615384615384","0.20896772768199084"
"Surrey_R2","Duke of Surrey",,"false","1","3","75","Q2501872","11","11","0","0.5384615384615384","0.20896772768199084"
"AbbotOfWestminster_R2","Abbot of Westminster",,"false","1","2","71","Q1747157","11","11","0","0.5384615384615384","0.20896772768199084"
"DuchessOfYork_R2","Duchess of York",,"false","2","28","734","Q434485","4","6","0","0.47297297297297297","0.08401919120723075"
"Exton_R2","Sir Pierce of Exton","MALE","false","3","6","178",,"8","8","0.06610644257703081","0.5147058823529411","0.10692828201625675"
"SERVANTS.EXTON.0.1_R2","SERVANTS.EXTON.0.1_R2","UNKNOWN","false","1","2","7",,"1","1","0","0.3431372549019608","0.007946260558777288"
"Groom_R2","Groom","MALE","false","1","4","91",,"3","3","0","0.4666666666666667","0.034290707745360534"
"Jailer_R2","Keeper","MALE","false","1","4","38",,"3","3","0","0.4666666666666667","0.03429070774536053"
