id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Chorus_2H4","Rumor","MALE","false","1","1","297",,"0","0","0","0","8.691434986871219E-24"
"LordBardolph_2H4","Lord Bardolph","MALE","false","2","18","643",,"7","7","0.20918367346938774","0.31306689342403626","0.005773502773015971"
"Porter_2H4","Drawers, Musicians, Beadles, Grooms, Messenger, Soldiers, Lords, Attendants, Porter, Servants","UNKNOWN","true","1","2","28",,"4","4","0","0.24368450082735799","0.000527248061321826"
"Northumberland_R2","Earl of Northumberland","MALE","false","2","17","819",,"6","6","0.07653061224489796","0.2463477194156351","0.0005327459368403791"
"Travers_2H4","Travers","MALE","false","1","1","112",,"4","4","0","0.24368450082735799","0.0005272480613218261"
"Morton_2H4","Morton","MALE","false","1","6","633",,"4","4","0","0.24368450082735799","0.0005272480613218261"
"Falstaff_1H4","Sir John Falstaff","MALE","false","8","183","5477",,"30","48","0.20771390363227096","0.5706535778868509","0.33143785853844093"
"SERVANTS.FALSTAFF.1_2H4","Falstaff’s Page","FEMALE","false","4","17","214",,"17","24","0.015531530072346396","0.4376857539132158","0.23902822983272057"
"ChiefJustice_2H4","Lord Chief Justice","MALE","false","4","56","1137",,"16","21","0.05221399915277467","0.4847487382049594","0.17437983186185846"
"SERVANTS.CHIEFJUSTICE.1_2H4","Drawers, Musicians, Beadles, Grooms, Messenger, Soldiers, Lords, Attendants, Porter, Servants","UNKNOWN","true","1","7","85",,"3","3","0","0.3756802721088435","0.05334506051781626"
"Archbishop_1H4","Archbishop","MALE","false","2","25","1094",,"6","8","0.07539682539682545","0.4025145772594752","0.026164873602446553"
"Mowbray_2H4","Lord Mowbray","MALE","false","2","18","434",,"6","8","0.07539682539682545","0.4025145772594752","0.026164873602446556"
"Hastings_2H4","Lord Hastings","MALE","false","2","17","415",,"6","8","0.07539682539682545","0.4025145772594752","0.026164873602446553"
"MistressQuickly_1H4","Hostess","FEMALE","false","3","49","1425",,"17","20","0.03177167692473815","0.4376857539132158","0.23760296989122162"
"OFFICERS.Fang_2H4","Fang","MALE","false","1","6","53",,"6","6","0","0.38863476425052773","0.08212521439216464"
