id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Chorus_H5","Chorus","UNKNOWN","true","6","6","1668",,"0","0","0","0","5.41665696630806E-25"
"BishopOfCanterbury_H5","Bishop of Canterbury",,"false","2","18","1652","Q2376957","5","6","0","0.44575521381925426","0.09362411645396979"
"BishopOfEly_H5","Bishop of Ely",,"false","2","13","240","Q6233619","5","6","0","0.44575521381925426","0.09362411645396979"
"HenryV_H5","Henry V, King of England",,"false","11","147","8332","Q131581","29","53","0.24915410676280245","0.652482269503546","0.3713323867800761"
"Exeter_H5","Thomas, Duke of Exeter",,"false","8","22","965","Q660630","27","43","0.35489516650478736","0.6719593521752937","0.3323182706235093"
"Westmoreland_1H4","Earl of Westmoreland",,"false","4","8","144","Q1972589","19","26","0.03256244218316374","0.5235032162295893","0.24895192863767462"
"AMBASSADORS.0.1_H5","AMBASSADORS.0.1_H5","UNKNOWN","true","1","2","132",,"5","5","0","0.44575521381925426","0.09362411645396979"
"Bardolph_1H4","Bardolph","MALE","false","3","16","224",,"8","15","0.0027301406579852473","0.3815362423368193","0.08763303413752421"
"Nym_H5","Nym","MALE","false","3","19","386",,"8","15","0.0027301406579852473","0.3815362423368193","0.08763303413752421"
"Pistol_2H4","Pistol","MALE","false","7","62","1118",,"16","32","0.09396199955866932","0.48936170212765956","0.20109663923370327"
"MistressQuickly_1H4","Hostess Quickly","FEMALE","false","2","11","360",,"4","8","0","0.33597967608764684","0.0382593511163992"
"Boy_H5","Boy","MALE","false","4","16","626",,"9","17","0.008666002514291133","0.3847972358610656","0.08944432486414422"
"Bedford_H5","John, Duke of Bedford",,"false","2","5","77","Q348441","10","13","0.002775208140610546","0.46897163120567376","0.1652412048849958"
"Scroop_H5","Lord Scroop of Masham",,"false","1","5","93","Q1607250","6","6","0","0.4502127659574468","0.10986442392779089"
"Cambridge_H5","Earl of Cambridge",,"false","1","5","107","Q469002","6","6","0","0.4502127659574468","0.10986442392779089"
"Grey_H5","Sir Thomas Grey","MALE","false","1","4","86",,"6","6","0","0.4502127659574468","0.10986442392779089"
"KingOfFrance_H5","King of France",,"false","3","19","699","Q160349","12","15","0.06477563961375245","0.5174859378821228","0.14850739210671268"
"Dauphin_H5","Dauphin",,"false","5","31","905","Q1347131","11","19","0.11476513516291496","0.47390817469204927","0.05593859236758135"
"Constable_H5","Constable of France",,"false","5","40","922","Q626829","11","19","0.11476513516291496","0.47390817469204927","0.05593859236758135"
"MESSENGERS.X.1_H5","Lords, Attendants, Soldiers, French Prisoners, Messengers","UNKNOWN","true","1","1","12",,"4","4","0","0.44138506466416355","0.04868322993452778"
"Fluellen_H5","Captain Fluellen","MALE","false","6","68","2501",,"17","34","0.08649388950036493","0.5490399584846912","0.24051831688763423"
"Gower_H5","Captain Gower","MALE","false","6","27","507",,"17","34","0.08649388950036493","0.5490399584846912","0.24051831688763423"
"Jamy_H5","Captain Jamy","MALE","false","1","4","98",,"7","7","0","0.3783300554264259","0.08472911078812537"
"MacMorris_H5","Captain MacMorris","MALE","false","1","4","205",,"7","7","0","0.3783300554264259","0.08472911078812537"
"Governor_H5","Governor_H5","MALE","false","1","1","56",,"1","1","0","0.39492347891004104","0.030500098850760837"
"Katherine_H5","Katherine",,"false","2","33","441","Q229192","8","9","0","0.4641368721210791","0.13469681610482506"
"Alice_H5","Alice","FEMALE","false","2","22","164",,"8","9","0","0.4641368721210791","0.13469681610482506"
"Brittany_H5","Duke of Brittany",,"false","1","2","65","Q454013","3","3","0","0.3630748112560055","0.021387540416067673"
"Montjoy_H5","Montjoy","MALE","false","3","11","399",,"11","18","0.014623096607370423","0.5116054158607349","0.20775386529923262"
"Gloucester_2H4","Humphrey, Duke of Gloucester",,"false","4","5","28","Q447541","14","26","0.025353901417731212","0.5296620775969962","0.24137653655746805"
"Orleans_H5","Duke of Orléans",,"false","3","29","312","Q310146","7","12","0.0016959605303731111","0.33597967608764684","0.014123894021217375"
"Rambures_H5","Lord Rambures",,"false","2","5","66","Q3019053","6","9","0.00046253469010175765","0.3334909377462569","0.013338297562093954"
"MESSENGERS.X.2_H5","Lords, Attendants, Soldiers, French Prisoners, Messengers","UNKNOWN","true","1","2","17",,"4","4","0","0.3286224569032458","0.011445264065310035"
"Erpingham_H5","Sir Thomas Erpingham",,"false","1","5","53","Q446018","8","8","0","0.4502127659574468","0.1476584790314964"
"SOLDIERS.ENGLISH.Court_H5","Alexander Court","MALE","false","1","1","11",,"8","8","0","0.4502127659574468","0.1476584790314964"
"SOLDIERS.ENGLISH.Bates_H5","John Bates","MALE","false","1","7","167",,"8","8","0","0.4502127659574468","0.1476584790314964"
"SOLDIERS.ENGLISH.Williams_H5","Michael Williams","MALE","false","3","28","621",,"12","20","0.011365731092835623","0.5174859378821228","0.20756437107716602"
"MESSENGERS.X.3_H5","Lords, Attendants, Soldiers, French Prisoners, Messengers","UNKNOWN","true","1","1","7",,"5","5","0","0.3310387984981227","0.01246953222925389"
"Grandpre_H5","Lord Grandpré","MALE","false","1","1","137",,"5","5","0","0.3310387984981227","0.01246953222925389"
"Salisbury_H5","Earl of Salisbury",,"false","1","2","75","Q1000874","7","7","0","0.45476036965398664","0.14022413777559659"
"York_H5","Duke of York",,"false","1","1","14","Q452639","7","7","0","0.45476036965398664","0.14022413777559659"
"SOLDIERS.FRENCH.LeFer_H5","Monsieur Le Fer","MALE","false","1","10","98",,"2","2","0","0.3310387984981227","0.023863804164697505"
"Bourbon_H5","Duke of Bourbon",,"false","1","2","74","Q724225","3","3","0","0.326241134751773","0.010349631834612384"
"Warwick_2H4","Earl of Warwick",,"false","1","1","7","Q592988","6","6","0","0.47390817469204927","0.12458810472381032"
"HERALDS.1_H5","HERALDS.1_H5","UNKNOWN","true","1","1","8",,"6","6","0","0.47390817469204927","0.12458810472381032"
"QueenOfFrance_H5","Queen Isabel of France",,"false","1","5","188","Q154064","8","8","0","0.4641368721210791","0.13469681610482506"
"Burgundy_H5","Duke of Burgundy",,"false","1","8","512","Q298901","8","8","0","0.4641368721210791","0.13469681610482506"
"ATTENDANTS.ENGLISH_H5","Lords, Attendants, Soldiers, French Prisoners, Messengers","UNKNOWN","true","1","1","1",,"8","8","0","0.4641368721210791","0.13469681610482506"
