id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Bedford_H5","Bedford",,"false","4","19","595","Q348441","22","31","0.053221105363167966","0.5794392523364486","0.160439959850073"
"Gloucester_2H4","Gloucester",,"false","7","49","1401","Q447541","28","49","0.08244899982848741","0.6391752577319587","0.23415654562049207"
"Exeter_H5","Exeter",,"false","5","11","444","Q660630","23","37","0.0362359438322479","0.6078431372549019","0.2170511595200242"
"CardinalBeaufort_1H6","Winchester",,"false","6","27","727","Q982472","33","49","0.13765136003954254","0.6813186813186813","0.27415371381544346"
"MESSENGERS.ENGLISH.1_1H6","Heralds, Attendants, three Messengers, Servingmen in blue coats and in tawny coats, two Warders, Officers, Soldiers, Captains, Watch, Trumpeters, Drummer, Servant, two Ambassadors","UNKNOWN","true","1","2","126",,"6","6","0","0.45255474452554745","0.0569224606744131"
"MESSENGERS.ENGLISH.2_1H6","Heralds, Attendants, three Messengers, Servingmen in blue coats and in tawny coats, two Warders, Officers, Soldiers, Captains, Watch, Trumpeters, Drummer, Servant, two Ambassadors","UNKNOWN","true","1","1","54",,"6","6","0","0.45255474452554745","0.0569224606744131"
"MESSENGERS.ENGLISH.3_1H6","Heralds, Attendants, three Messengers, Servingmen in blue coats and in tawny coats, two Warders, Officers, Soldiers, Captains, Watch, Trumpeters, Drummer, Servant, two Ambassadors","UNKNOWN","true","1","4","338",,"6","6","0","0.45255474452554745","0.0569224606744131"
"Charles_1H6","Charles",,"false","8","41","1019","Q133372","21","49","0.028523079910017627","0.6019417475728155","0.16287761095336772"
"Alanson_1H6","Alanson",,"false","7","18","359","Q719814","19","43","0.02105179876739857","0.5849056603773585","0.15605994267990722"
"Reignier_1H6","Reignier",,"false","6","24","444","Q170353","20","39","0.024597676307463102","0.5904761904761905","0.1668451881373888"
"Bastard_1H6","Orleance",,"false","5","12","222","Q503809","16","35","0.004077556939799139","0.5","0.11555451765610451"
"Pucelle_1H6","Pucelle",,"false","10","46","1957","Q7226","23","54","0.043119716631693374","0.6138613861386139","0.17555070486665175"
"WARDERS.1_1H6","Heralds, Attendants, three Messengers, Servingmen in blue coats and in tawny coats, two Warders, Officers, Soldiers, Captains, Watch, Trumpeters, Drummer, Servant, two Ambassadors","UNKNOWN","true","1","2","22",,"8","8","0","0.42758620689655175","0.06350107419336593"
"SERVANTS.GLOUCESTER.0.1_1H6","Heralds, Attendants, three Messengers, Servingmen in blue coats and in tawny coats, two Warders, Officers, Soldiers, Captains, Watch, Trumpeters, Drummer, Servant, two Ambassadors","UNKNOWN","true","2","3","22",,"19","22","0.011472471943122392","0.4881889763779528","0.17643478950039448"
