id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Warwick_2H6","Warwick",,"false","12","99","3414","Q923162","28","70","0.07892517500230264","0.6956521739130435","0.26788075697472274"
"York_1H6","York","MALE ","false","3","38","1358",,"14","20","0.00741725768321513","0.5783132530120482","0.17071375582566922"
"EdwardIV_3H6","Edward King Edward IV",,"false","18","133","3483","Q160341","38","99","0.24291570082793482","0.8275862068965517","0.305521963668946"
"Montague_3H6","Montague","MALE ","false","5","10","118",,"23","40","0.036194870436891714","0.6575342465753424","0.24972873527349507"
"RichardIII_R3","Richard Gloucester",,"false","17","108","3174","Q7323515","34","87","0.17100376229365583","0.7741935483870968","0.28996896549187623"
"Norfolk_3H6","Norfolk","MALE ","false","1","3","26",,"12","12","0","0.5647058823529412","0.16331737634463245"
"HenryVI_1H6","King Henry VI",,"false","7","71","2904","Q160337","22","42","0.10913107774809895","0.64","0.22966831443164476"
"Northumberland_3H6","Northumberland","MALE ","false","3","15","244",,"14","24","0.0007954097714736013","0.5783132530120482","0.1837300108646956"
"Clifford_3H6","Clifford","MALE ","false","6","35","1092",,"16","31","0.08235569345941686","0.5925925925925926","0.1850774071567483"
"Westmorland_3H6","Westmorland",,"false","1","6","85","Q1972589","12","12","0","0.5647058823529412","0.16331737634463245"
"Exeter_3H6","Exeter","MALE ","false","3","13","136",,"16","24","0.015286956443871335","0.5925925925925926","0.19473001940166895"
"QueenMargaret_1H6","Queen Margaret",,"false","7","53","2246","Q229159","22","46","0.03948806069816708","0.64","0.2357459048916245"
"PrinceEdward_3H6","Prince Edward","MALE ","false","6","16","358",,"22","43","0.03948806069816708","0.64","0.23574590489162456"
"MESSENGERS.X.1_3H6","MESSENGERS.X.1_3H6","UNKNOWN","true","1","1","32",,"5","5","0","0.4752475247524752","0.06510486711780901"
"JohnMortimer_3H6","Sir John","MALE","false","1","1","10",,"5","5","0","0.4752475247524752","0.06510486711780901"
"Rutland_3H6","Rutland","MALE","false","1","7","196",,"2","2","0","0.3779527559055118","0.011860347231041693"
"Tutor_3H6","Tutor","MALE","false","1","2","24",,"2","2","0","0.3779527559055118","0.011860347231041693"
"MESSENGERS.X.2_3H6","MESSENGERS.X.2_3H6","UNKNOWN","true","1","2","162",,"4","4","0","0.48484848484848486","0.05532817651151279"
"MESSENGERS.X.3_3H6","MESSENGERS.X.3_3H6","UNKNOWN","true","1","1","24",,"4","4","0","0.48484848484848486","0.05532817651151279"
"MESSENGERS.X.4_3H6","MESSENGERS.X.4_3H6","UNKNOWN","true","1","1","46",,"9","9","0","0.5454545454545454","0.13023247981717026"
"Clarence_3H6","George Clarence","MALE","false","12","39","836",,"21","60","0.03137738197578623","0.64","0.22912461525092953"
"Son_3H6","Son","MALE","false","1","4","190",,"5","5","0","0.41739130434782606","0.057411464743457034"
"Father_3H6","Father","MALE","false","1","4","218",,"5","5","0","0.41739130434782606","0.057411464743457034"
"GAMEKEEPERS.1_3H6","First Gamekeeper","MALE","false","1","7","147",,"2","2","0","0.39669421487603307","0.014717873344972359"
"GAMEKEEPERS.2_3H6","Second Gamekeeper","MALE","false","1","9","123",,"2","2","0","0.39669421487603307","0.014717873344972359"
"QueenElizabeth_3H6","Lady Grey Queen Elizabeth","FEMALE","false","3","30","594",,"9","12","0.04266400709219858","0.5161290322580645","0.09818465756231975"
"ATTENDANTS.EDWARD.1_3H6","Nobleman","MALE","false","1","1","16",,"4","4","0","0.48","0.05557520356737072"
"KingLewis_3H6","King Lewis","MALE","false","1","21","516",,"6","6","0","0.45714285714285713","0.0719468864938582"
"Oxford_3H6","Oxford","MALE","false","8","13","277",,"21","48","0.03441459299172065","0.6153846153846154","0.2090619079367946"
"LadyBona_3H6","Lady Bona","FEMALE","false","1","4","71",,"6","6","0","0.45714285714285713","0.0719468864938582"
"MESSENGERS.Post_3H6","Post","MALE","false","3","9","224",,"15","19","0.020126799914033953","0.5783132530120482","0.17427393707494634"
"Somerset_3H6","Somerset","MALE","false","7","11","262",,"20","42","0.03097483190568297","0.6153846153846154","0.20211251066455108"
"Hastings_3H6","Hastings","MALE","false","3","9","158",,"14","18","0.016553836234687296","0.5454545454545454","0.1180919308277713"
"WATCHMEN.1_3H6","First Watch","MALE","false","1","5","62",,"6","6","0","0.4948453608247423","0.06741555716789556"
"WATCHMEN.2_3H6","Second Watch","MALE","false","1","5","48",,"6","6","0","0.4948453608247423","0.06741555716789556"
"WATCHMEN.3_3H6","Third Watch","MALE","false","1","3","74",,"6","6","0","0.4948453608247423","0.06741555716789556"
"Rivers_3H6","Rivers","MALE","false","1","5","54",,"1","1","0","0.34285714285714286","0.005913153598997016"
"Huntsman_3H6","Huntsman","MALE","false","1","2","18",,"3","3","0","0.46601941747572817","0.04297537493814511"
"Lieutenant_3H6","Lieutenant","MALE","false","1","1","21",,"6","6","0","0.47058823529411764","0.07902137850598494"
"MayorOfYork_3H6","Mayor","MALE","false","1","3","48",,"8","8","0","0.4897959183673469","0.06149305199889251"
