id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Prologue_Tro","Prologue","UNKNOWN","false","1","1","224",,"0","0","0","0","1.6176936724581674E-20"
"Troilus_Tro","Troilus",,"false","13","132","3962","Q867342","24","65","0.14402135112362385","0.7757575757575759","0.28632061321033586"
"Pandarus_Tro","Pandarus",,"false","8","153","3154","Q1057384","17","31","0.12330137244909972","0.6464646464646464","0.14050828469845839"
"Aeneas_Tro","Aeneas",,"false","8","44","1052","Q82732","19","42","0.051044536271808987","0.6895622895622896","0.2674640601038304"
"Cressida_Tro","Cressida","FEMALE","false","6","153","2119",,"20","33","0.10478758404894767","0.7052341597796143","0.2655743433154021"
"Alexander_Tro","Alexander","MALE","false","1","8","259",,"3","3","0","0.47015610651974293","0.029760987587271345"
"Boy_Tro","Troilus’s Boy","MALE","false","1","2","16",,"3","3","0","0.47015610651974293","0.029760987587271345"
"Agamemnon_Tro","Agamemnon",,"false","7","54","1407","Q128176","16","51","0.01635892516574335","0.6206060606060606","0.24557831758360488"
"Nestor_Tro","Nestor",,"false","6","38","1135","Q193267","16","42","0.01635892516574335","0.6206060606060606","0.24557831758360488"
"Ulysses_Tro","Ulysses","MALE","false","7","80","3520",,"15","53","0.006263654275017915","0.6084373143196673","0.24118590427250897"
"Menelaus_Tro","Menelaus",,"false","4","12","86","Q171839","14","34","0.0006456611570247935","0.5967365967365967","0.23467862039485343"
"Ajax_Tro","Ajax",,"false","8","55","539","Q172725","16","54","0.01635892516574335","0.6206060606060606","0.24557831758360488"
"Thersites_Tro","Thersites",,"false","7","89","2287","Q1045730","14","38","0.058869949494949496","0.5967365967365967","0.2223950596663656"
"Achilles_Tro","Achilles",,"false","9","74","1304","Q41746","16","52","0.027349512860876495","0.6206060606060606","0.24337032904419284"
"Patroclus_Tro","Patroclus",,"false","5","37","404","Q186271","14","40","0.0006456611570247935","0.5967365967365967","0.23467862039485343"
"Priam_Tro","Priam",,"false","2","6","139","Q170473","7","10","0.0017045454545454545","0.5171717171717172","0.06809463242071233"
"Hector_Tro","Hector",,"false","7","57","1528","Q159666","20","40","0.10445538258038257","0.7052341597796143","0.2571189940553495"
"Helenus_Tro","Helenus",,"false","1","1","37","Q729332","5","5","0","0.48484848484848486","0.055533812409395936"
"Cassandra_Tro","Cassandra",,"false","2","13","259","Q170779","7","10","0.0017045454545454545","0.5171717171717172","0.06809463242071233"
"Paris_Tro","Paris",,"false","6","27","721","Q167646","14","24","0.0671326569053842","0.6084373143196673","0.13365166882761892"
"Diomedes_Tro","Diomedes",,"false","11","55","703","Q208256","19","69","0.06370296370296369","0.6895622895622896","0.26964735266778683"
"SERVANTS.PARIS.1_Tro","Paris’s Servingman","MALE","false","1","14","117",,"3","3","0","0.4082934609250399","0.020092803338177524"
"Helen_Tro","Helen",,"false","1","19","187","Q164061","3","3","0","0.4082934609250399","0.020092803338177524"
"SERVANTS.TROILUS.1_Tro","Troilus’s Man","MALE","false","1","1","10",,"3","3","0","0.47738927738927744","0.04727975882805746"
"Calchas_Tro","Calchas",,"false","2","4","229","Q725527","12","15","0","0.5746352413019079","0.20498966179846148"
"Deiphobus_Tro","Deiphobus",,"false","3","2","14","Q736813","8","15","0.0021120293847566576","0.5350052246603971","0.10239340074346263"
"ATTENDANTS.GREEK_Tro","Other Trojans and Greeks, Common Soldiers of Troy and Greece, Trumpeters, Attendants, Torchbearers","UNKNOWN","true","1","0","3",,"12","12","0","0.5641873278236914","0.20736078878673866"
"Andromache_Tro","Andromache",,"false","1","6","113","Q19376","5","5","0","0.5004887585532747","0.056002014276268386"
"SERVANTS.DIOMEDES.1_Tro","Diomedes’ Servingman","MALE","false","1","1","4",,"6","6","0","0.4432900432900433","0.10180600402180941"
"Bastard_Tro","Bastard","MALE","false","1","3","14",,"1","1","0","0.3738590726542534","0.015185837939577463"
"MYRMIDONS.0.1_Tro","MYRMIDONS.0.1_Tro",,"false","1","1","8",,"2","2","0","0.43097643097643096","0.03417505635475023"
"SOLDIERS_Tro","Other Trojans and Greeks, Common Soldiers of Troy and Greece, Trumpeters, Attendants, Torchbearers","UNKNOWN","true","1","1","5",,"4","4","0","0.42507264425072644","0.0687189807060333"
"Antenor_Tro","Antenor",,"false","1","0","4","Q571969","6","6","0","0.5004887585532747","0.06818270796799816"
"SOLDIERS.TROJAN_Tro","Other Trojans and Greeks, Common Soldiers of Troy and Greece, Trumpeters, Attendants, Torchbearers","UNKNOWN","true","1","0","4",,"6","6","0","0.5004887585532747","0.06818270796799815"
