id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"CITIZENS.ROMAN.0.1_Cor","CITIZENS.ROMAN.0.1_Cor","MALE","false","3","14","328",,"17","31","0.007000777000777002","0.5350052246603971","0.18725469034719983"
"CITIZENS.ROMAN_Cor","Citizens Plebeians","UNKNOWN","true","4","22","149",,"18","38","0.007906537906537907","0.5396574440052702","0.19309261367357927"
"CITIZENS.ROMAN.0.2_Cor","CITIZENS.ROMAN.0.2_Cor","MALE","false","2","21","311",,"14","20","0.005757575757575758","0.5215176979882862","0.16272058973030024"
"Menenius_Cor","Menenius",,"false","13","163","4288","Q396971","37","89","0.10150405150405152","0.6819846819846821","0.30299386209056545"
"Coriolanus_Cor","Martius Coriolanus",,"false","18","188","6481","Q570532","54","104","0.4505028305028304","0.8386568386568387","0.32270947497264296"
"MESSENGERS.X.1_Cor","MESSENGERS.X.1_Cor","MALE","false","1","2","12",,"10","10","0","0.5045577728504559","0.1369660129477882"
"SENATORS.ROMAN.0.1_Cor","SENATORS.ROMAN.0.1_Cor","MALE","false","6","20","259",,"18","42","0.004976134976134976","0.5443912812333864","0.19068199706456418"
"Cominius_Cor","Cominius",,"false","11","65","1919","Q1236578","28","72","0.036739926739926744","0.5967365967365967","0.24624745821128657"
"Lartius_Cor","Lartius",,"false","6","23","394","Q529867","20","35","0.05214563214563215","0.5591045591045591","0.1759900947561599"
"TRIBUNES.Sicinius_Cor","Sicinius",,"false","10","118","1928","Q1235782","33","76","0.04352314352314353","0.6268748086929906","0.28936201935345734"
"TRIBUNES.Brutus_Cor","Brutus",,"false","9","90","1603","Q223440","33","73","0.04352314352314353","0.6268748086929906","0.28936201935345734"
"SENATORS.VOLSCIAN.0.1_Cor","SENATORS.VOLSCIAN.0.1_Cor","MALE","false","2","4","103",,"9","9","0.020337440337440345","0.5004887585532747","0.04533117651957865"
"Aufidius_Cor","Aufidius",,"false","8","45","2034","Q2870125","24","28","0.1307659007659007","0.5910533910533912","0.09080476218077418"
"SENATORS.VOLSCIAN.0.2_Cor","SENATORS.VOLSCIAN.0.2_Cor","MALE","false","1","2","40",,"3","3","0","0.38787878787878793","0.00838647264786071"
