id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Saturninus_Tit","Saturninus","MALE","false","5","50","1590",,"20","41","0.027631257631257622","0.8125","0.25977042743031376"
"Bassianus_Tit","Bassianus","MALE","false","3","14","461",,"14","27","0.0005128205128205128","0.6842105263157895","0.2051797794866183"
"Marcus_Tit","Marcus Andronicus","MALE","false","9","64","2447",,"22","47","0.0562134597428715","0.8666666666666667","0.2685635961959551"
"Captain_Tit","Captain","MALE","false","1","1","41",,"13","13","0","0.6666666666666666","0.19043789801888306"
"Titus_Tit","Titus Andronicus","MALE","false","9","119","5712",,"22","54","0.0562134597428715","0.8666666666666667","0.2685635961959551"
"Lucius_Tit","Lucius","MALE","false","4","51","1412",,"23","34","0.10162824104000576","0.896551724137931","0.26968848208045615"
"Tamora_Tit","Tamora","FEMALE","false","5","49","1981",,"21","41","0.04031602384543561","0.8387096774193549","0.2646739585976636"
"Chiron_Tit","Chiron","MALE","false","6","30","403",,"17","35","0.024504776269482147","0.7428571428571429","0.22437687800450254"
"Demetrius_Tit","Demetrius","MALE","false","7","39","720",,"17","40","0.024504776269482147","0.7428571428571429","0.22437687800450254"
"Lavinia_Tit","Lavinia","FEMALE","false","3","15","457",,"14","27","0.0005128205128205128","0.6842105263157895","0.2051797794866183"
"TRIBUNES_Tit","Tribunes, Senators, Romans, Goths, Drummers, Trumpeters, Soldiers, Guards, Attendants, a black Child","UNKNOWN","true","2","1","31",,"19","24","0.016862026862026862","0.7878787878787878","0.25492031857391556"
"Mutius_Tit","Mutius","MALE","false","1","3","25",,"13","13","0","0.6666666666666666","0.19043789801888306"
"Martius_Tit","Martius","MALE","false","2","13","273",,"14","22","0.0005128205128205128","0.6842105263157895","0.2051797794866183"
"Quintus_Tit","Quintus","MALE","false","2","8","227",,"14","22","0.0005128205128205128","0.6842105263157895","0.2051797794866183"
"Aaron_Tit","Aaron","MALE","false","6","57","2805",,"22","36","0.10367952309128775","0.8666666666666667","0.2505398701403004"
"Messenger_Tit","Messenger","MALE","false","1","1","56",,"4","4","0","0.5416666666666666","0.06610480849413167"
"YoungLucius_Tit","Young Lucius","MALE","false","4","11","350",,"14","19","0.014615384615384615","0.6842105263157895","0.1874805639410113"
"Nurse_Tit","Nurse","FEMALE","false","1","10","136",,"4","4","0","0.5306122448979592","0.05544015383281656"
"Publius_Tit","Publius","MALE","false","2","5","112",,"6","8","0.0015384615384615385","0.5306122448979592","0.0833365481126951"
"CountryFellow_Tit","Country Fellow","MALE","false","2","12","173",,"6","6","0.0018250377073906485","0.5531914893617021","0.08242817910341271"
"Aemilius_Tit","Aemilius","MALE","false","3","4","132",,"15","20","0.034479638009049775","0.7027027027027027","0.17354238019567153"
"GOTHS.0.1_Tit","First Goth","MALE","false","2","2","66",,"14","17","0.02009049773755656","0.6842105263157895","0.16869227133927336"
"GOTHS_Tit","Tribunes, Senators, Romans, Goths, Drummers, Trumpeters, Soldiers, Guards, Attendants, a black Child","UNKNOWN","true","1","1","10",,"6","6","0","0.5531914893617021","0.061626339965259576"
"GOTHS.0.2_Tit","Second Goth","MALE","false","1","1","160",,"6","6","0","0.5531914893617021","0.061626339965259576"
"GOTHS.0_Tit","Tribunes, Senators, Romans, Goths, Drummers, Trumpeters, Soldiers, Guards, Attendants, a black Child","UNKNOWN","true","1","3","28",,"6","6","0","0.5531914893617021","0.06162633996525956"
"ATTENDANTS_Tit","Tribunes, Senators, Romans, Goths, Drummers, Trumpeters, Soldiers, Guards, Attendants, a black Child","UNKNOWN","true","1","0","12",,"11","11","0","0.6341463414634146","0.1578137454310244"
"TRIBUNES.0.1_Tit","Tribunes, Senators, Romans, Goths, Drummers, Trumpeters, Soldiers, Guards, Attendants, a black Child","UNKNOWN","true","1","1","21",,"11","11","0","0.6341463414634146","0.1578137454310244"
