id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Chorus_Rom","Chorus","UNKNOWN","true","2","2","219",,"0","0","0","0","3.2511690724694763E-15"
"SERVANTS.CAPULET.Sampson_Rom","Sampson","MALE","false","1","20","258",,"11","11","0","0.5649520488230166","0.14082071846292013"
"SERVANTS.CAPULET.Gregory_Rom","Gregory","MALE","false","1","15","145",,"11","11","0","0.5649520488230166","0.14082071846292013"
"SERVANTS.MONTAGUE.Abram_Rom","Abram","MALE","false","1","5","24",,"11","11","0","0.5649520488230166","0.14082071846292013"
"Benvolio_Rom","Benvolio","MALE","false","7","63","1160",,"24","41","0.046184875351542004","0.7148372862658577","0.23853178148870519"
"Tybalt_Rom","Tybalt","MALE","false","3","17","263",,"21","29","0.02689594356261023","0.6735966735966736","0.2168172510098418"
"CITIZENS_Rom","Three or four Citizens","UNKNOWN","true","1","1","16",,"11","11","0","0.5649520488230166","0.14082071846292013"
"Capulet_Rom","Capulet","MALE","false","9","50","2136",,"30","59","0.10105700939034272","0.833976833976834","0.28832581653415584"
"LadyCapulet_Rom","Lady Capulet","FEMALE","false","10","45","874",,"30","57","0.11332284665618","0.833976833976834","0.28608187355087383"
"Montague_Rom","Montague","MALE","false","3","10","317",,"22","31","0.02971304637971304","0.7005405405405406","0.23706513326889625"
"LadyMontague_Rom","Lady Montague","FEMALE","false","1","2","28",,"11","11","0","0.5649520488230166","0.14082071846292013"
"PrinceEscalus_Rom","Escalus","MALE","false","3","16","584",,"22","31","0.02971304637971304","0.7005405405405406","0.23706513326889625"
"Romeo_Rom","Romeo","MALE","false","14","163","4620",,"31","66","0.1280250488583822","0.8543177323665129","0.2937461339539212"
"Paris_Rom","Paris","MALE","false","5","23","540",,"19","28","0.024855808189141515","0.6608873023967363","0.20203812894368728"
"SERVANTS.CAPULET.X.1_Rom","SERVANTS.CAPULET.X.1_Rom","UNKNOWN","true","1","8","142",,"4","4","0","0.5003861003861003","0.06099745664825027"
"Nurse_Rom","Nurse","FEMALE","false","11","90","2205",,"19","43","0.03848074264740931","0.6608873023967363","0.18445362399546575"
"Juliet_Rom","Juliet","FEMALE","false","11","118","4265",,"21","42","0.037454120787454116","0.686804451510334","0.22617140616325804"
"SERVANTS.CAPULET.X.2_Rom","SERVANTS.CAPULET.X.2_Rom","UNKNOWN","true","1","1","35",,"3","3","0","0.4864864864864865","0.04155659346439929"
"Mercutio_Rom","Mercutio","MALE","false","4","62","2100",,"10","16","0.0023642690309356976","0.555984555984556","0.12068167833372423"
"SERVANTS.CAPULET.0.1_Rom","SERVANTS.CAPULET.0.1_Rom","MALE","false","3","6","119",,"11","18","0.0005630630630630631","0.5649520488230166","0.13206315212062492"
"SERVANTS.CAPULET.0.2_Rom","SERVANTS.CAPULET.0.2_Rom","MALE","false","2","2","37",,"11","14","0.0005630630630630631","0.5649520488230166","0.13206315212062494"
"SERVANTS.CAPULET.0.3_Rom","SERVANTS.CAPULET.0.3_Rom","MALE","false","1","2","21",,"10","10","0","0.555984555984556","0.11595979924396634"
"Cousin_Rom","Cousin_Rom","MALE","false","1","2","18",,"10","10","0","0.555984555984556","0.11595979924396634"
"SERVANTS.CAPULET.0_Rom","SERVANTS.CAPULET.0_Rom","MALE","false","1","1","4",,"10","10","0","0.555984555984556","0.11595979924396634"
"FriarLawrence_Rom","Friar Lawrence","MALE","false","7","55","2722",,"18","28","0.06671790838457503","0.6486486486486487","0.1858016027891159"
"SERVANTS.CAPULET.Peter_Rom","Peter","MALE","false","2","13","244",,"11","12","0.0048399590066256735","0.5742135578201152","0.12272884949679193"
"Petruchio_Rom","Petruchio","MALE","false","1","1","2",,"8","8","0","0.5388773388773389","0.10339035663489432"
"CITIZENS.0.1_Rom","CITIZENS.0.1_Rom","MALE","false","1","2","27",,"8","8","0","0.5388773388773389","0.1033903566348943"
"MUSICIANS.0.1_Rom","MUSICIANS.0.1_Rom","MALE","false","1","10","70",,"8","8","0","0.5388773388773389","0.0859741473974954"
"MUSICIANS.0.2_Rom","MUSICIANS.0.2_Rom","MALE","false","1","3","34",,"8","8","0","0.5388773388773389","0.0859741473974954"
"MUSICIANS.0.3_Rom","MUSICIANS.0.3_Rom","MALE","false","1","1","7",,"8","8","0","0.5388773388773389","0.0859741473974954"
"SERVANTS.MONTAGUE.Balthasar_Rom","Balthasar","MALE","false","2","12","233",,"13","14","0.011411411411411412","0.5936784241868989","0.15487419029735394"
"Apothecary_Rom","Apothecary","MALE","false","1","4","53",,"2","2","0","0.46702702702702703","0.026758720416674223"
"FriarJohn_Rom","Friar John","MALE","false","1","4","97",,"1","1","0","0.39356210142727","0.011082490892322945"
"SERVANTS.PARIS.1_Rom","SERVANTS.PARIS.1_Rom","UNKNOWN","true","1","4","80",,"12","12","0","0.5837837837837838","0.15336796753125836"
"WATCHMEN.0.1_Rom","WATCHMEN.0.1_Rom","MALE","false","1","6","133",,"12","12","0","0.5837837837837838","0.15336796753125836"
"WATCHMEN.0.2_Rom","WATCHMEN.0.2_Rom","MALE","false","1","1","9",,"12","12","0","0.5837837837837838","0.15336796753125836"
"WATCHMEN.0.3_Rom","WATCHMEN.0.3_Rom","MALE","false","1","1","26",,"12","12","0","0.5837837837837838","0.15336796753125836"
