id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Poet_Tim","Poet","MALE","false","2","30","758",,"15","17","0.0062996704787749574","0.5317460317460317","0.12409441243623248"
"Painter_Tim","Painter","MALE","false","2","30","483",,"15","17","0.0062996704787749574","0.5317460317460317","0.12409441243623248"
"Merchant_Tim","Merchant","MALE","false","1","8","63",,"12","12","0","0.4962962962962963","0.10543881289075913"
"Jeweler_Tim","Jeweler","MALE","false","1","8","78",,"12","12","0","0.4962962962962963","0.10543881289075914"
"Timon_Tim","Timon",,"false","8","210","6336","Q1747004","50","66","0.31683088884581423","0.7976190476190477","0.2972195226766012"
"MESSENGERS.X.1_Tim","Soldiers, Servants, Messengers, Attendants, Musicians","UNKNOWN","true","1","3","43",,"12","12","0","0.4962962962962963","0.10543881289075914"
"OldMan_Tim","Old Athenian","MALE","false","1","10","207",,"12","12","0","0.4962962962962963","0.10543881289075914"
"SERVANTS.TIMON.Lucilius_Tim","Lucilius","MALE","false","1","3","35",,"12","12","0","0.4962962962962963","0.10543881289075914"
"Apemantus_Tim","Apemantus","MALE","false","4","101","1759",,"38","47","0.08938047855958302","0.6767676767676768","0.2736842133509263"
"MESSENGERS.X.2_Tim","Soldiers, Servants, Messengers, Attendants, Musicians","UNKNOWN","true","1","1","9",,"12","12","0","0.4962962962962963","0.10543881289075914"
"Alcibiades_Tim","Alcibiades",,"false","5","39","1181","Q187982","36","43","0.1496715556417049","0.6568627450980392","0.2520963016934009"
"LORDS.0.1_Tim","Soldiers, Servants, Messengers, Attendants, Musicians","UNKNOWN","true","2","12","118",,"25","29","0.0113372531282979","0.5775862068965517","0.22608893045248857"
"LORDS.0.2_Tim","Soldiers, Servants, Messengers, Attendants, Musicians","UNKNOWN","true","2","11","115",,"25","29","0.0113372531282979","0.5775862068965517","0.22608893045248857"
"FRIENDS.Ventidius_Tim","Ventidius","MALE","false","1","2","63",,"17","17","0","0.5403225806451613","0.18301249221949942"
