id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Flavius_JC","Flavius","MALE","false","1","6","207",,"3","3","0","0.06","1.158909663806496E-12"
"COMMONERS.Carpenter_JC","COMMONERS.Carpenter_JC","MALE","false","1","1","4",,"3","3","0","0.06","1.158909663806496E-12"
"Marullus_JC","Marullus","MALE","false","1","5","231",,"3","3","0","0.06","1.158909663806496E-12"
"COMMONERS.Cobbler_JC","COMMONERS.Cobbler_JC","MALE","false","1","6","145",,"3","3","0","0.06","1.158909663806496E-12"
"Caesar_JC","Julius Caesar",,"false","4","43","1142","Q1048","23","36","0.02172889242276997","0.6045714285714286","0.2421115411717576"
"Casca_JC","Casca","MALE","false","4","40","1073",,"19","32","0.011056070913213768","0.5718918918918919","0.2152255223685422"
"Calphurnia_JC","Calphurnia","FEMALE","false","2","6","203",,"10","13","0.0004314868804664723","0.5098795180722892","0.13110843565129693"
"Antony_JC","Mark Antony",,"false","8","51","2537","Q51673","33","55","0.1412342079689018","0.7172881355932204","0.2632144368520799"
"Soothsayer_JC","Soothsayer_JC","MALE","false","3","9","131",,"17","22","0.0021636186942309388","0.5568421052631579","0.2066579637121126"
"Brutus_JC","Marcus Brutus",,"false","12","193","5388","Q172248","43","82","0.25808166210207023","0.8636734693877551","0.3190890581400835"
"Cassius_JC","Caius Cassius",,"false","8","138","3708","Q207370","32","58","0.09336899608328177","0.6937704918032787","0.27900368607349274"
"Cicero_JC","Cicero","MALE","false","1","4","62",,"3","3","0","0.40692307692307694","0.04093718954633994"
"Cinna_JC","Cinna","MALE","false","3","11","130",,"18","26","0.009646935830609299","0.5642666666666667","0.2080034781470893"
"Lucius_JC","Lucius","MALE","false","3","24","206",,"17","20","0.01040589569160998","0.5496103896103897","0.17661595250627338"
"Decius_JC","Decius Brutus","MALE","false","3","12","323",,"19","30","0.005346968224519244","0.5718918918918919","0.21806586259275523"
"Metellus_JC","Metellus Cimber","MALE","false","2","5","121",,"17","23","0.0023498836764142884","0.5568421052631579","0.20574847758549614"
"Trebonius_JC","Trebonius","MALE","false","3","4","60",,"19","30","0.005346968224519244","0.5718918918918919","0.21806586259275526"
"Portia_JC","Portia","FEMALE","false","2","16","724",,"10","11","0.00009070294784580499","0.5038095238095239","0.12598145543426156"
"Ligarius_JC","Caius Ligarius","MALE","false","1","5","111",,"9","9","0","0.49788235294117644","0.11459782795782135"
"SERVANTS.CAESAR.1_JC","SERVANTS.CAESAR.1_JC","MALE","false","1","3","31",,"7","7","0","0.48643678160919546","0.09250036218111528"
"Publius_JC","Publius",,"false","2","2","6","Q214765","16","21","0.0018328474246841594","0.5496103896103897","0.19508482308176597"
"Artemidorus_JC","Artemidorus","MALE","false","2","4","75",,"14","14","0","0.5356962025316456","0.1827674380745069"
"Popilius_JC","Popilius Lena",,"false","1","2","10","Q464897","14","14","0","0.5356962025316456","0.1827674380745069"
"SERVANTS.ANTONY.1_JC","SERVANTS.ANTONY.1_JC","MALE","false","1","2","119",,"14","14","0","0.5356962025316456","0.1827674380745069"
"SERVANTS.OCTAVIUS.1_JC","SERVANTS.OCTAVIUS.1_JC","MALE","false","2","6","62",,"19","21","0.021224489795918372","0.5797260273972603","0.19937081585323066"
"PLEBEIANS_JC","First, Second, Third, and Fourth Plebeians","UNKNOWN","true","1","15","89",,"7","7","0","0.49209302325581394","0.05966176627910755"
"PLEBEIANS.0.1_JC","PLEBEIANS.0.1_JC","MALE","false","2","18","128",,"8","11","0.008571428571428572","0.49788235294117644","0.06043809395979761"
