id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"WITCHES.1_Mac","WITCHES.1_Mac","UNKNOWN","true","4","23","467",,"11","17","0.007522064498808685","0.5569620253164557","0.18732541414928516"
"WITCHES.2_Mac","WITCHES.2_Mac","UNKNOWN","true","3","15","242",,"11","16","0.007522064498808685","0.5569620253164557","0.18732541414928516"
"WITCHES.3_Mac","WITCHES.3_Mac","UNKNOWN","true","3","13","246",,"11","16","0.007522064498808685","0.5569620253164557","0.18732541414928516"
"Duncan_Mac","Duncan",,"false","3","18","472","Q26326","7","9","0.0035361924896808615","0.5432098765432098","0.14651080775395653"
"Malcolm_Mac","Malcolm",,"false","8","40","1508","Q68508","17","34","0.052073927364625044","0.6197183098591549","0.24265166684161388"
"SOLDIERS.Captain_Mac","SOLDIERS.Captain_Mac","UNKNOWN","true","1","3","236",,"4","4","0","0.4631578947368421","0.08179496354526558"
"Lennox_Mac","Lennox","MALE","false","6","21","513",,"23","29","0.141678105486245","0.676923076923077","0.3194939841698394"
"Ross_Mac","Ross","MALE","false","8","39","917",,"24","38","0.24040592805127686","0.6875","0.3035273612664694"
"Macbeth_Mac","Macbeth",,"false","15","145","5310","Q244403","31","58","0.337077570362454","0.7719298245614035","0.3623824703958467"
"Banquo_Mac","Banquo","MALE","false","7","33","777",,"18","29","0.06643669637855681","0.6285714285714286","0.26906279039020514"
"Angus_Mac","Angus","MALE","false","2","4","137",,"9","9","0.015501520443380908","0.55","0.15827586233142169"
"LadyMacbeth_Mac","Lady Macbeth",,"false","9","59","1785","Q272390","17","28","0.08980128398733053","0.6197183098591549","0.2341076313215966"
"MESSENGERS.1_Mac","Three Messengers, Three Servants, a Lord, a Soldier","UNKNOWN","true","1","2","38",,"2","2","0","0.4489795918367347","0.048202543002017775"
"Fleance_Mac","Fleance","MALE","false","1","2","16",,"2","2","0","0.4489795918367347","0.051027138070124274"
"Porter_Mac","Porter_Mac","MALE","false","1","4","307",,"8","8","0","0.55","0.172315204692698"
"Macduff_Mac","Macduff","MALE","false","7","59","1162",,"16","29","0.0555497151427384","0.6111111111111112","0.22879797633400883"
