id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Kent_Lr","Earl of Kent","MALE","false","12","125","2586",,"25","60","0.18553483150714725","0.8205128205128205","0.2676935126941664"
"Gloucester_Lr","Earl of Gloucester","MALE","false","12","118","2531",,"20","52","0.06854418825203247","0.7272727272727273","0.22047209254942565"
"Edmund_Lr","Edmund","MALE","false","9","78","2369",,"20","45","0.03210528437535053","0.7272727272727273","0.24768273125640553"
"Lear_Lr","Lear",,"false","10","187","5601","Q1800394","23","57","0.0625509605394053","0.7804878048780488","0.265764485851653"
"Goneril_Lr","Goneril","FEMALE","false","8","53","1473",,"25","52","0.08282018180342707","0.8205128205128205","0.2775472357104648"
"Cordelia_Lr","Cordelia","FEMALE","false","4","31","825",,"19","29","0.06914732097510111","0.7111111111111111","0.23374187771850302"
"Regan_Lr","Regan","FEMALE","false","8","72","1363",,"24","52","0.06649605717164334","0.8","0.2732669781300032"
"Albany_Lr","Duke of Albany","MALE","false","5","55","1006",,"21","37","0.0324433576866836","0.7441860465116279","0.25720563432791577"
"Cornwall_Lr","Duke of Cornwall","MALE","false","6","54","745",,"18","35","0.03347503856329452","0.6956521739130435","0.20634400994965957"
"Burgundy_Lr","Duke of Burgundy","MALE","false","1","5","68",,"10","10","0","0.5925925925925926","0.14832938867921705"
"France_Lr","King of France","MALE","false","1","5","240",,"10","10","0","0.5925925925925926","0.14832938867921702"
"Edgar_Lr","Edgar","MALE","false","10","100","2828",,"19","39","0.04531310146247797","0.7111111111111111","0.23729400167991618"
"Oswald_Lr","Oswald","MALE","false","7","38","499",,"16","28","0.030304943905124664","0.6530612244897959","0.18622176395965956"
"ATTENDANTS.LEAR.0.3_Lr","Knights in Lear’s train, Servants, Officers, Soldiers, Attendants, Gentlemen","UNKNOWN","true","1","5","105",,"6","6","0","0.5245901639344263","0.08686490739786377"
"Fool_Lr","Fool","MALE","false","6","58","1739",,"12","26","0.013188731226133897","0.6037735849056604","0.1499153998661909"
"ATTENDANTS.X.1_Lr","ATTENDANTS.X.1_Lr","UNKNOWN","true","1","1","3",,"3","3","0","0.47058823529411764","0.04226950771133696"
"Curan_Lr","Curan","MALE","false","1","4","77",,"5","5","0","0.49230769230769234","0.07330109613208267"
"ATTENDANTS.X.2_Lr","ATTENDANTS.X.2_Lr","UNKNOWN","true","1","2","25",,"7","7","0","0.5517241379310345","0.10274036055959926"
"ATTENDANTS.X.3_Lr","ATTENDANTS.X.3_Lr","UNKNOWN","true","1","5","123",,"1","1","0","0.45714285714285713","0.016557922477026442"
"SERVANTS.0.1_Lr","SERVANTS.0.1_Lr","MALE","false","1","4","76",,"7","7","0","0.5161290322580645","0.08215282728874483"
"SERVANTS.0.2_Lr","SERVANTS.0.2_Lr","MALE","false","1","2","35",,"7","7","0","0.5161290322580645","0.08215282728874483"
"SERVANTS.0.3_Lr","SERVANTS.0.3_Lr","MALE","false","1","2","39",,"7","7","0","0.5161290322580645","0.08215282728874483"
"OldMan_Lr","Old Man","MALE","false","1","9","58",,"2","2","0","0.463768115942029","0.02831482304355404"
"MESSENGERS.X.1_Lr","MESSENGERS.X.1_Lr","UNKNOWN","true","1","6","117",,"4","4","0","0.48484848484848486","0.05991555740001267"
"ATTENDANTS.X.4_Lr","ATTENDANTS.X.4_Lr","UNKNOWN","true","1","10","229",,"1","1","0","0.45714285714285713","0.016557922477026442"
"Doctor_Lr","Doctor","MALE","false","2","8","124",,"5","6","0.008092948717948719","0.49230769230769234","0.061835725571012946"
"MESSENGERS.X.2_Lr","MESSENGERS.X.2_Lr","UNKNOWN","true","1","1","8",,"2","2","0","0.4266666666666667","0.018282574732449337"
"ATTENDANTS.CORDELIA.1_Lr","Knights in Lear’s train, Servants, Officers, Soldiers, Attendants, Gentlemen","UNKNOWN","true","3","14","163",,"16","21","0.011918537685197279","0.6666666666666666","0.2142239942957219"
"SOLDIERS.CAPTAINS.1_Lr","SOLDIERS.CAPTAINS.1_Lr","UNKNOWN","true","1","2","22",,"13","13","0","0.6274509803921569","0.1869314682192584"
"SOLDIERS.CAPTAINS.2_Lr","SOLDIERS.CAPTAINS.2_Lr","UNKNOWN","true","1","1","2",,"13","13","0","0.6274509803921569","0.1869314682192584"
"Herald_Lr","Herald","MALE","false","1","4","16",,"13","13","0","0.6274509803921569","0.1869314682192584"
"ATTENDANTS.ALBANY_Lr","Knights in Lear’s train, Servants, Officers, Soldiers, Attendants, Gentlemen","UNKNOWN","true","1","3","33",,"13","13","0","0.6274509803921569","0.1869314682192584"
"MESSENGERS.X.3_Lr","MESSENGERS.X.3_Lr","UNKNOWN","true","1","1","5",,"13","13","0","0.6274509803921569","0.1869314682192584"
