id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Roderigo_Oth","Roderigo","MALE","false","7","60","861",,"23","45","0.08090489757156426","0.8633461047254151","0.30364850202701443"
"Iago_Oth","Iago","MALE","false","13","273","8439",,"26","74","0.16366843033509698","0.9629629629629629","0.3178624900144002"
"Brabantio_Oth","Brabantio","MALE","false","3","30","1045",,"13","18","0.009544159544159546","0.6419753086419753","0.1943981104236398"
"Othello_Oth","Othello","MALE","false","12","274","6263",,"25","71","0.12686881020214352","0.9272976680384086","0.31386390586133883"
"Cassio_Oth","Cassio","MALE","false","9","111","1961",,"18","55","0.04263329263329264","0.7363834422657951","0.2359680095585431"
"OFFICERS_Oth","Servants, Attendants, Officers, Messengers, Herald, Musicians, Torchbearers.","UNKNOWN","true","1","1","19",,"5","5","0","0.5327029156816391","0.0954773467926276"
"Duke_Oth","Duke_Oth","MALE","false","1","23","476",,"11","11","0","0.6106594399277326","0.17274105999669376"
"SENATORS.0.1_Oth","SENATORS.0.1_Oth","MALE","false","1","9","181",,"11","11","0","0.6106594399277326","0.17274105999669376"
"SENATORS.0.2_Oth","SENATORS.0.2_Oth","MALE","false","1","1","38",,"11","11","0","0.6106594399277326","0.17274105999669376"
"Sailor_Oth","Sailors","MALE","false","1","2","24",,"11","11","0","0.6106594399277326","0.17274105999669376"
"OFFICERS.0.1_Oth","Servants, Attendants, Officers, Messengers, Herald, Musicians, Torchbearers.","UNKNOWN","true","1","2","9",,"11","11","0","0.6106594399277326","0.17274105999669376"
"MESSENGERS.X.1_Oth","Servants, Attendants, Officers, Messengers, Herald, Musicians, Torchbearers.","UNKNOWN","true","1","2","62",,"11","11","0","0.6106594399277326","0.17274105999669376"
"SENATORS_Oth","Venetian senators","UNKNOWN","true","1","0","6",,"11","11","0","0.6106594399277326","0.17274105999669376"
"Desdemona_Oth","Desdemona","FEMALE","false","9","165","2755",,"23","57","0.08047754714421378","0.8633461047254151","0.30473963478171107"
"Montano_Oth","Montano","MALE","false","3","24","420",,"14","24","0.008682675349342016","0.6588693957115009","0.20569903033115805"
"GENTLEMEN.1_Oth","GENTLEMEN.1_Oth","MALE","false","1","1","19",,"10","10","0","0.5961199294532628","0.16729281547861294"
"GENTLEMEN.2_Oth","GENTLEMEN.2_Oth","MALE","false","1","5","88",,"10","10","0","0.5961199294532628","0.16729281547861294"
"GENTLEMEN.3_Oth","GENTLEMEN.3_Oth","MALE","false","1","4","113",,"10","10","0","0.5961199294532628","0.16729281547861294"
"MESSENGERS.X.2_Oth","Servants, Attendants, Officers, Messengers, Herald, Musicians, Torchbearers.","UNKNOWN","true","1","1","19",,"10","10","0","0.5961199294532628","0.16729281547861294"
"Emilia_Oth","Emilia","FEMALE","false","8","103","1823",,"15","46","0.01879663546330213","0.6766766766766766","0.20934505794201688"
"Herald_Oth","Servants, Attendants, Officers, Messengers, Herald, Musicians, Torchbearers.","UNKNOWN","true","1","1","101",,"0","0","0","0","1.905403455524021E-14"
"GENTLEMEN_Oth","Gentlemen of Cyprus","UNKNOWN","true","1","1","2",,"6","6","0","0.5442834138486312","0.11757158459666048"
"Clown_Oth","Clown_Oth","MALE","false","2","14","227",,"7","10","0.002136752136752137","0.5563786008230451","0.11217579464037436"
"MUSICIANS.0.1_Oth","Servants, Attendants, Officers, Messengers, Herald, Musicians, Torchbearers.","UNKNOWN","true","1","5","23",,"4","4","0","0.5216049382716049","0.06119509039179211"
"GENTLEMEN.0.1_Oth","GENTLEMEN.0.1_Oth","UNKNOWN","true","1","1","5",,"2","2","0","0.5007407407407407","0.044163239600626084"
"Bianca_Oth","Bianca","FEMALE","false","4","15","270",,"10","26","0.001899335232668566","0.5961199294532628","0.16162186461877903"
"Lodovico_Oth","Lodovico","MALE","false","4","33","529",,"9","23","0","0.5822566752799311","0.1542921381797631"
"Gratiano_Oth","Gratiano","MALE","false","2","19","165",,"9","15","0","0.5822566752799311","0.1542921381797631"
