id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"Philo_Ant","Philo","MALE","false","1","2","125",,"4","4","0","0.4543078586878154","0.0377017492470395"
"Cleopatra_Ant","Cleopatra",,"false","16","204","4695","Q635","44","76","0.17149697736489178","0.6975231769752317","0.29471668853136607"
"Antony_JC","Antony",,"false","22","203","5998","Q51673","47","97","0.234123604471522","0.7268925739005047","0.28518282863866695"
"MESSENGERS.X.1_Ant","MESSENGERS.X.1_Ant","MALE","false","1","1","6",,"4","4","0","0.4543078586878154","0.0377017492470395"
"Demetrius_Ant","Demetrius","MALE","false","1","2","35",,"4","4","0","0.4543078586878154","0.0377017492470395"
"Charmian_Ant","Charmian",,"false","10","63","632","Q5086521","31","54","0.06201086457811769","0.6165606653620352","0.25427625402427184"
"Alexas_Ant","Alexas","MALE","false","4","15","207",,"11","20","0.0020002811538041834","0.49324853228962817","0.10816154819952575"
"Soothsayer_Ant","A Soothsayer","MALE","false","2","14","209",,"11","12","0.0017788478044426133","0.5077558420628526","0.11763895247725717"
"Enobarbus_Ant","Enobarbus Domitius",,"false","12","113","2436","Q360920","36","62","0.1482688905551483","0.6277708592777086","0.23224211841203535"
"Iras_Ant","Iras","FEMALE","false","5","18","160",,"27","38","0.03130836707777919","0.5754566210045662","0.2335074481979928"
"MESSENGERS.ANTONY.1_Ant","MESSENGERS.ANTONY.1_Ant","MALE","false","1","6","83",,"9","9","0","0.4863013698630137","0.09919375265672326"
"MESSENGERS.ANTONY.2_Ant","MESSENGERS.ANTONY.2_Ant","MALE","false","1","2","9",,"9","9","0","0.4863013698630137","0.09919375265672328"
"MESSENGERS.ANTONY.3_Ant","MESSENGERS.ANTONY.3_Ant","MALE","false","1","2","22",,"9","9","0","0.4863013698630137","0.09919375265672328"
"Octavius_JC","Octavius Caesar",,"false","14","96","2889","Q1405","34","65","0.11847448622950325","0.6165606653620352","0.25855129667458787"
"Lepidus_JC","Lepidus",,"false","6","30","411","Q105452","14","33","0.013812785388127856","0.5192089813575034","0.11451966264200986"
"MESSENGERS.CAESAR.1_Ant","MESSENGERS.CAESAR.1_Ant","MALE","false","1","1","49",,"3","3","0","0.38363774733637745","0.022774230009240188"
"MESSENGERS.CAESAR.2_Ant","MESSENGERS.CAESAR.2_Ant","MALE","false","1","1","67",,"3","3","0","0.38363774733637745","0.022774230009240188"
"Mardian_Ant","Mardian","MALE","false","3","7","118",,"13","16","0.00516157112155865","0.4863013698630137","0.1074169064032581"
"Pompey_Ant","Sextus Pompeius Pompey",,"false","3","41","931","Q295228","12","20","0.013127853881278538","0.5115169964485032","0.10834067246895743"
"Menas_Ant","Menas",,"false","3","37","459","Q1283531","12","20","0.013127853881278538","0.5115169964485032","0.10834067246895743"
"Varrius_Ant","Varrius","MALE","false","1","1","27",,"2","2","0","0.33850389470856834","0.012466465016368635"
"Maecenas_Ant","Maecenas",,"false","8","15","255","Q8833","26","48","0.028597210621634027","0.5754566210045662","0.2355521069131813"
"Agrippa_Ant","Agrippa",,"false","9","28","376","Q48174","20","46","0.02036466048351625","0.5437385395318736","0.15542479449286367"
"Octavia_Ant","Octavia",,"false","4","13","234","Q229483","7","12","0.0002446183953033268","0.4897503157485669","0.08049551141840096"
"MESSENGERS.X.2_Ant","MESSENGERS.X.2_Ant","MALE","false","2","31","224",,"5","8","0","0.4289117672083723","0.057422490937030765"
