name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"a-midsummer-night-s-dream","shake000008","Shakespeare","0","A Midsummer Night’s Dream","","","1595","25","false","0.8698697895634225","0.6833333333333333","1.3166666666666667","RobinGoodfellow_MND|Titania_MND","16.4","2","","","24","25","5","14","3","","1","1595","9","65","5","17772","17127","789","179","1749"
"all-s-well-that-ends-well","shake000012","Shakespeare","0","All’s Well That Ends Well","","","1605","29","false","0.7927751391106789","0.312807881773399","1.7275132275132274","Parolles_AWW","8.758620689655173","3","","1623","22","29","5","14","10","","2","1605","24","31","5","25066","24421","826","524","1627"
"antony-and-cleopatra","shake000035","Shakespeare","0","Antony and Cleopatra","","","1606","74","false","0.8154578727081226","0.14735283228433912","2.080954243253813","Antony_JC","10.756756756756756","4","","1623","47","74","1","33","22","","2","1606","42","37","5","27119","25878","1407","149","3236"
"as-you-like-it","shake000010","Shakespeare","0","As You Like It","","","1599","28","false","0.7792977330792455","0.291005291005291","1.9074074074074074","Touchstone_AYL|Orlando_AYL","7.857142857142857","4","","1623","18","28","4","20","3","","1","1599","23","47","5","23721","23113","970","597","1205"
"coriolanus","shake000026","Shakespeare","0","Coriolanus","","","1608","67","false","0.7967102632609581","0.16327453640886477","1.9774147044690054","Coriolanus_Cor","10.776119402985074","4","","1623","54","67","3","45","11","","2","1608","29","35","5","29948","28851","1460","302","2984"
"cymbeline","shake000036","Shakespeare","0","Cymbeline","","","1610","41","false","0.8896406213479385","0.23780487804878048","1.9079320113314449","Posthumus_Cym","9.512195121951219","3","","1623","27","41","6","31","3","","2","1610","27","28","5","30141","29093","1802","149","3237"
"hamlet","shake000032","Shakespeare","0","Hamlet","","","1603","38","false","0.8572610250990879","0.3129445234708393","1.7354196301564722","Horatio_Ham","11.578947368421053","3","","1603","32","38","0","15","17","","1","1602","20","94","5","32539","31665","1133","488","2922"
"henry-iv-part-i","shake000017","Shakespeare","0","Henry IV, Part I","","","1598","36","false","0.7951713400500809","0.23333333333333334","2.1441281138790034","HenryV_H5|Falstaff_1H4","8.166666666666666","4","","1598","20","36","1","7","13","","2","1597","19","27","5","26290","25466","1057","455","1730"
"henry-iv-part-ii","shake000018","Shakespeare","0","Henry IV, Part II","","","1598","50","false","0.808002437189746","0.1893877551020408","2.5558510638297873","Falstaff_1H4","9.28","7","","1598","30","50","5","29","11","","3","1598","19","19","5","28461","27650","1015","620","1589"
"henry-v","shake000019","Shakespeare","0","Henry V","","","1599","48","false","0.8028933595725593","0.18262411347517732","2.2682701202590194","HenryV_H5","8.583333333333334","5","","","29","48","2","16","7","","2","1599","29","34","5","27982","27202","805","504","1825"
